,ricf_oid,ba_ntr,ba_fdt,ba_fnd,ba_evl,ao_ad,ao_adn,fa_dine_this,fa_dinu_this,fp_ntt_end,fp_tt_end,doi_1,doi_2,ba_fnd_r,ba_fdt_r,ba_fdt_y,ba_fdt_o
41,1315,1,2012-05-21,200.0,3A,0.0,0.0,0.0,0.0,12364324.66,12364324.66,0.0,0.0,2000000.0,2012,2012.0,5.0
42,126,1,2008年05月07日,1900.0,未参评,1124000.0,0.0,0.0,1124000.0,29439334.31,29464900.99,1124000.0,1124000.0,19000000.0,2008,2008.0,9.0
43,2684,1,2013-01-08,500.0,4A,60000.0,0.0,60000.0,0.0,4867879.98,4867879.98,60000.0,60000.0,5000000.0,2013,2013.0,4.0
44,2283,1,2012-09-04,200.0,未参评,51584.99,0.0,0.0,51584.99,1882861.14,1882861.14,51584.99,51584.99,2000000.0,2012,2012.0,5.0
45,2197,1,2012-01-12,200.0,未参评,200000.0,0.0,0.0,200000.0,2014922.85,2014922.85,200000.0,200000.0,2000000.0,2012,2012.0,5.0
46,3216,0,2011-12-19,500.0,4A,21052275.47,0.0,21052275.47,0.0,11634654.35,11634654.35,21052275.47,21052275.47,5000000.0,2011,2011.0,6.0
47,3309,1,2011-11-22,200.0,--,0.0,0.0,0.0,0.0,3345003.19,3345003.19,0.0,0.0,2000000.0,2011,2011.0,6.0
48,2249,1,2012-08-10,500.0,未参评,3650940.64,0.0,0.0,3650940.64,14517499.95,14566840.61,3650940.64,3650940.64,5000000.0,2012,2012.0,5.0
49,4136,1,2014年12月16日,200.0,未参评,1150300.0,0.0,0.0,1150300.0,1963905.15,2003959.75,1150300.0,1150300.0,2000000.0,2014,2014.0,3.0
50,5967,0,2011-05-04,400.0,--,0.0,0.0,0.0,0.0,6328741.71,6550051.69,0.0,0.0,4000000.0,2011,2011.0,6.0
51,4179,0,2014-05-19,400.0,--,0.0,0.0,0.0,0.0,4921344.52,4921344.52,0.0,0.0,4000000.0,2014,2014.0,3.0
52,2219,1,2011-03-01,500.0,未参评,1842932.35,0.0,710000.0,1132932.35,10339980.36,10339980.36,1842932.35,1842932.35,5000000.0,2011,2011.0,6.0
53,1774,0,2003-02-13,400.0,3A,100000.0,0.0,0.0,100000.0,12658832.11,12658832.11,100000.0,100000.0,4000000.0,2003,2003.0,14.0
54,2234,1,2012-05-11,2000.0,未参评,221150000.0,0.0,15550000.0,205600000.0,297301772.1,298060829.78,221150000.0,221150000.0,20000000.0,2012,2012.0,5.0
55,5201,1,2016年09月22日,200.0,--,2000000.0,0.0,0.0,2000000.0,1985663.71,1985708.71,2000000.0,2000000.0,2000000.0,2016,2016.0,1.0
56,5242,1,2016年10月28日,2000.0,--,20000000.0,0.0,0.0,20000000.0,20012834.07,20012834.07,20000000.0,20000000.0,20000000.0,2016,2016.0,1.0
57,1818,0,1992-08-01,400.0,未参评,0.0,0.0,0.0,0.0,6043098.48,6043098.48,0.0,0.0,4000000.0,1992,1992.0,25.0
58,2490,1,2012-11-13,200.0,未参评,0.0,0.0,0.0,0.0,2021386.15,2051986.15,0.0,0.0,2000000.0,2012,2012.0,5.0
59,1363,1,2013-05-23,200.0,未参评,0.0,0.0,0.0,0.0,22470442.56,22470442.56,0.0,0.0,2000000.0,2013,2013.0,4.0
60,2057,1,1996-10-04,200.0,4A,868983.5,0.0,868983.5,0.0,2714521.72,2714521.72,868983.5,868983.5,2000000.0,1996,1996.0,21.0
61,2262,1,2005-11-01,200.0,未参评,0.0,0.0,0.0,0.0,37061363.7,37061363.7,0.0,0.0,2000000.0,2005,2005.0,12.0
62,133,1,2010年02月12日,200.0,未参评,1058589.4,0.0,0.0,1058589.4,8835721.43,8835721.43,1058589.4,1058589.4,2000000.0,2010,2010.0,7.0
63,1255,0,2010-03-03,430.12,4A,5914845.32,0.0,72000.0,5842845.32,8629459.77,8629459.77,5914845.32,5914845.32,4301200.0,2010,2010.0,7.0
64,252,0,1994-04-01,800.0,3A,3024595.36,0.0,2896377.52,128217.84,9746844.5,9942333.93,3024595.36,3024595.36,8000000.0,1994,1994.0,23.0
