,ricf_oid,ba_ntr,doi_1,ba_fdt_o,ba_fnd_r
272,4166,1,253000.0,3.0,2000000.0
273,2049,0,300000.0,5.0,4000000.0
274,111,1,446095.0,6.0,2000000.0
275,876,0,32827322.72,11.0,4000000.0
276,3416,0,3097323.5,11.0,4000000.0
277,964,0,2250.0,8.0,4000000.0
278,2082,0,550494.2,9.0,4000000.0
279,4260,1,0.0,3.0,2000000.0
280,2742,1,0.0,9.0,2000000.0
281,3042,0,2827014.5,8.0,4000000.0
282,5202,1,2001620.0,1.0,2000000.0
283,2033,0,2505406.32,9.0,4000000.0
284,272,0,5851714.39,29.0,8000000.0
285,2753,0,1181645.0,22.0,4000000.0
286,4902,1,4521100.0,2.0,2000000.0
287,1825,1,11304989.9,5.0,2000000.0
288,1617,0,3662440.0,8.0,4000000.0
289,10,1,0.0,6.0,4000000.0
290,1815,0,11440900.0,27.0,4000000.0
291,4419,1,263000.0,2.0,100000000.0
292,2366,0,0.0,4.0,4000000.0
293,1340,1,600000.0,4.0,2000000.0
294,3102,1,508050.23,5.0,6000000.0
295,341,0,3060455.0,8.0,4706000.0
296,5636,1,1183980.0,1.0,2000000.0
297,84,1,198582.0,11.0,2400000.0
298,247,0,9682500.0,31.0,8000000.0
299,891,0,53650000.0,8.0,4000000.0
300,3205,1,2386100.0,6.0,500000000.0
301,4428,1,5000.01,2.0,3000000.0
302,2922,0,3100000.0,6.0,4000000.0
303,4770,0,1659606.27,2.0,4000000.0
304,65,1,955000.0,25.0,2100000.0
305,4498,1,1419395.8800000001,2.0,2000000.0
306,1176,0,500000.0,12.0,4000000.0
307,1089,1,0.0,9.0,2000000.0
308,1068,1,1665000.0,10.0,2000000.0
309,2231,1,8935152.23,5.0,2000000.0
310,5676,1,2875878.8,5.0,2000000.0
311,3222,0,0.0,7.0,4000000.0
312,2984,0,1675000.0,8.0,4000000.0
313,3201,1,8000000.0,6.0,5000000.0
314,263,1,38000000.0,8.0,100000000.0
315,2291,1,20000000.0,4.0,20000000.0
316,411,1,10137280.0,8.0,10000000.0
317,1848,0,641000.0,13.0,4000000.0
318,191,0,14961850.0,24.0,40000000.0
319,4579,1,18100000.0,2.0,5000000.0
320,413,0,386219.52,9.0,4000000.0
321,2140,0,2695430.3,7.0,4000000.0
322,3909,0,2347631.0300000003,3.0,7000000.0
323,5550,1,0.0,1.0,2000000.0
324,2791,1,70000.0,10.0,2000000.0
325,177,1,11103084.0,5.0,50000000.0
326,3100,0,500000.0,6.0,4000000.0
327,2983,0,172066886.22,26.0,4000000.0
328,4180,0,101000.0,3.0,4000000.0
329,5893,0,9170000.0,2.0,4000000.0
330,4615,1,644359.3,2.0,3000000.0
331,2255,1,333000.0,6.0,2000000.0
332,2088,1,520000.0,7.0,3000000.0
333,5231,1,8000000.0,1.0,8000000.0
334,4353,1,0.0,2.0,2000000.0
335,3107,1,20319510.0,5.0,2180000.0
336,3154,0,1214000.0,5.0,4060000.0
337,975,0,0.0,4.0,4000000.0
338,2982,0,722070.0,6.0,4000000.0
339,5626,1,1633958.0,1.0,2000000.0
340,85,0,895298.18,12.0,4000000.0
341,3284,1,21125084.8,5.0,20000000.0
342,4542,1,1395100.14,2.0,2000000.0
343,3716,1,8803100.0,3.0,2000000.0
344,3280,1,32986965.96,31.0,20000000.0
345,4071,1,1370663.25,3.0,2000000.0
346,2164,0,0.0,9.0,4000000.0
347,348,1,0.0,10.0,2000000.0
348,2221,1,0.0,7.0,20000000.0
349,269,0,0.0,23.0,8000000.0
350,3760,1,0.0,3.0,2000000.0
351,1334,1,82000.0,5.0,2000000.0
352,3227,1,43200.0,7.0,5000000.0
353,2822,0,16058418.209999999,24.0,4000000.0
354,2176,1,442992350.0,7.0,200000000.0
355,2239,1,2803100.0,8.0,20000000.0
356,5837,1,0.0,1.0,8000000.0
357,954,0,500000.0,7.0,4000000.0
358,880,1,1429771.75,7.0,2000000.0
359,4405,1,23618990.0,2.0,20000000.0
360,3828,1,41560515.2,3.0,2000000.0
361,2302,0,0.0,25.0,4000000.0
362,330,0,1505.0,7.0,4000000.0
364,1349,1,0.0,7.0,2090000.0
365,245,0,5147004.92,11.0,10000000.0
367,308,1,35000.0,5.0,2000000.0
368,3015,1,1174337.62,12.0,2650000.0
369,3791,1,312895.43,3.0,2000000.0
370,4450,1,400000.0,2.0,2000000.0
371,3460,0,2002600.0,8.0,28000000.0
372,4739,1,320000.0,2.0,2000000.0
373,2067,1,0.0,9.0,2000000.0
374,712,1,99222660.54,12.0,20000000.0
375,4497,1,9577327.370000001,2.0,2000000.0
376,2289,1,134000.0,9.0,2000000.0
377,3020,1,880746.5,7.0,2000000.0
378,2844,1,3104000.0,9.0,20000000.0
379,213,0,7611026.180000001,6.0,10000000.0
380,2034,0,7181402.9,11.0,4000000.0
381,2217,1,2200800.0,6.0,20000000.0
382,2206,1,903264.4,7.0,2000000.0
383,2045,1,300000.0,10.0,2000000.0
384,3753,0,1943476.3,3.0,4000000.0
385,1050,1,0.0,13.0,3000000.0
386,106,0,22091253.82,25.0,55000000.0
387,5105,1,2000000.0,1.0,2000000.0
388,3555,1,953843.0,4.0,2000000.0
389,2212,1,165745.0,6.0,2000000.0
390,2220,1,352880041.3,11.0,50000000.0
391,2261,1,85000.0,5.0,5000000.0
392,76,0,12800450.0,22.0,260000000.0
393,1866,1,16860942.5,7.0,20000000.0
394,4390,1,510000.0,2.0,2000000.0
395,5548,1,0.0,1.0,2000000.0
396,2931,0,7494750.0,11.0,5000000.0
397,131,0,2761494.29,5.0,25000000.0
398,5566,1,0.0,1.0,2227700.0
399,2070,1,100000.0,6.0,2000000.0
400,2975,0,3600.0,5.0,4000000.0
401,4482,1,10000000.0,2.0,2000000.0
402,1819,0,0.0,6.0,4000000.0
403,73,1,4594680.49,24.0,2000000.0
404,2199,1,0.0,10.0,2000000.0
405,17,1,33248325.310000002,12.0,3000000.0
406,5351,1,2769245.4,1.0,2000000.0
407,14,1,0.0,8.0,5000000.0
408,3568,0,1618510.83,4.0,4000000.0
410,212,1,41583003.25,8.0,20460000.0
411,3074,1,0.0,26.0,2000000.0
412,2720,0,0.0,9.0,5000000.0
413,1092,0,0.0,9.0,24000000.0
414,5160,1,8876.0,1.0,2000000.0
415,128,1,337800.0,5.0,4000000.0
416,395,1,75150.0,4.0,2000000.0
417,96,0,3339432.24,10.0,10000000.0
418,4953,1,2000000.0,1.0,2000000.0
419,4789,1,0.0,2.0,2000000.0
420,233,0,23038952.57,26.0,8000000.0
421,45,1,4398478.56,9.0,2000000.0
422,2831,1,0.0,24.0,3000000.0
423,5313,1,2000000.0,1.0,2000000.0
424,3319,0,12977833.1,12.0,4000000.0
425,4870,1,23000000.0,2.0,10000000.0
426,145,1,31300000.0,5.0,5000000.0
427,102,1,1484692.23,6.0,2000000.0
428,3350,0,3144000.0,32.0,4000000.0
429,3336,0,0.0,4.0,4470000.0
430,4009,1,23755928.18,3.0,2000000.0
431,3674,1,6394822.39,3.0,4000000.0
432,1869,1,66953.4,8.0,2000000.0
433,307,1,345900.0,7.0,2000000.0
434,3338,1,0.0,11.0,3000000.0
435,147,1,0.0,7.0,5000000.0
436,5111,1,4480568.76,1.0,2000000.0
437,4786,1,1000000.0,2.0,3000000.0
438,2314,0,1062124.47,23.0,4000000.0
439,2666,1,351888530.6,9.0,20000000.0
440,3253,0,60000.0,4.0,5000000.0
441,4281,1,300000.11,2.0,2000000.0
442,149,1,0.0,25.0,2000000.0
443,36,1,5693026.54,18.0,40000000.0
444,3430,1,1144900.0,10.0,2000000.0
445,3206,0,5201568.0,8.0,5000000.0
446,1805,0,0.0,23.0,5040000.0
447,5050,1,5000000.0,1.0,5000000.0
448,892,1,771110.71,10.0,2800000.0
449,325,1,1729675.4,4.0,2000000.0
450,185,0,214493041.4,10.0,8000000.0
451,310,1,600000.0,5.0,2000000.0
452,3883,1,120000.0,3.0,5000000.0
453,267,0,53380619.41,7.0,50000000.0
454,3509,0,0.0,4.0,30000000.0
455,29,1,515500.0,12.0,2000000.0
456,4381,0,1890000.0,2.0,7510000.0
457,4777,1,5000000.0,2.0,10000000.0
458,4765,1,1870000.0,2.0,2000000.0
459,115,1,9324100.8,8.0,2000000.0
460,3731,0,1664130.28,3.0,4000000.0
461,5562,1,21550.0,1.0,2000000.0
462,2738,1,444536.11,6.0,4500000.0
464,20,0,34371950.81,6.0,4000000.0
465,2492,0,0.0,6.0,4000000.0
468,5049,1,2000000.0,1.0,2000000.0
470,865,1,5000.0,11.0,2000000.0
471,182,0,116304135.02,29.0,8000000.0
472,3221,1,4074650.51,11.0,2000000.0
473,410,1,0.0,5.0,2000000.0
476,2232,1,0.0,10.0,20000000.0
477,3584,1,65000.0,4.0,2000000.0
478,4456,1,1997668.0,1.0,2000000.0
479,346,0,11301106.32,9.0,4000000.0
480,2850,0,1230500.0,28.0,7000000.0
481,3337,0,892305.92,5.0,4000000.0
482,3190,0,87600.0,28.0,4220000.0
483,4359,1,6047450.0,2.0,2000000.0
484,271,0,7600130.0,22.0,8000000.0
485,2270,0,11649774.12,36.0,4000000.0
486,256,0,4290698930.67,33.0,8000000.0
487,95,0,601620.0,7.0,10000000.0
488,2693,1,0.0,8.0,4000000.0
489,3939,1,0.0,3.0,2000000.0
490,3291,1,1281746.6,28.0,200000.0
491,2755,1,43213.0,4.0,5000000.0
492,3252,0,11294730.29,7.0,5700000.0
493,4799,1,0.0,1.0,2000000.0
494,2215,1,20000.0,5.0,2000000.0
495,3088,1,1363753.1,7.0,2000000.0
496,951,1,828659.0,5.0,2000000.0
497,948,1,300000.0,8.0,2000000.0
498,5568,0,3535000.0,1.0,4000000.0
499,2960,0,2594440.0,6.0,4000000.0
500,67,0,1000000.0,11.0,220000000.0
501,5019,1,300000.0,1.0,2000000.0
502,5547,1,0.0,1.0,10000000.0
503,2278,1,668340.0,4.0,2000000.0
504,2080,1,14303636.99,6.0,2000000.0
507,34,1,0.0,6.0,3000000.0
508,2763,1,1064272.0,26.0,2000000.0
510,3579,1,137500.0,4.0,2000000.0
511,1773,0,0.0,23.0,4200000.0
512,3075,0,2660.0,10.0,4000000.0
513,3032,1,10348296.88,5.0,2000000.0
514,4571,1,379500.0,2.0,2000000.0
515,2223,1,6555219.7,5.0,2000000.0
516,2087,1,1855300.0,5.0,2000000.0
517,2116,1,10000.0,7.0,2000000.0
518,3297,0,199836.0,9.0,4000000.0
519,3677,1,40000.0,3.0,2000000.0
520,2114,1,66000.0,8.0,2000000.0
521,1058,1,72705411.25,13.0,2000000.0
522,4808,1,380421.6,2.0,2200000.0
523,174,1,0.0,22.0,2100000.0
524,2308,1,2663262.8,7.0,2000000.0
525,4167,1,2100000.0,3.0,2000000.0
526,4907,1,2799390.0,2.0,2600000.0
527,1078,1,0.0,19.0,2000000.0
528,4141,1,3060000.0,3.0,50000000.0
529,1159,0,69000.0,6.0,4000000.0
530,2098,1,10965553.14,7.0,2000000.0
531,4120,1,10264500.0,3.0,10000000.0
532,227,0,13613645.3,33.0,8000000.0
533,235,0,13592932.44,8.0,50000000.0
534,356,0,190000.0,7.0,4000000.0
535,1628,1,2705669.1,11.0,4000000.0
536,3880,0,2501500.0,3.0,4000000.0
537,2106,0,6525000.0,6.0,4000000.0
538,135,1,725100.0,5.0,2300000.0
539,2317,1,0.0,5.0,10000000.0
540,5199,1,2300000.0,1.0,2300000.0
541,2191,1,650000.0,6.0,20000000.0
542,3619,0,0.0,4.0,4000000.0
543,1272,1,262500.0,5.0,2000000.0
544,2968,0,170000.0,6.0,4000000.0
545,4399,1,11307348.66,2.0,50000000.0
546,2066,1,1329719.0,7.0,2000000.0
547,4509,1,4611936.71,2.0,2000000.0
548,3868,1,245966.4,3.0,2000000.0
549,101,1,0.0,4.0,2000000.0
550,448,0,34215664.0,12.0,4000000.0
551,3067,0,900.0,4.0,6000000.0
552,222,0,98783446.57,20.0,40000000.0
553,4774,1,470689.0,2.0,5000000.0
554,2147,0,274876.9,4.0,4000000.0
555,505,1,56003842.89,8.0,20000000.0
556,3029,1,185954.02,6.0,2200000.0
557,142,0,60546217.07,8.0,4000000.0
558,5161,1,3000000.0,1.0,2000000.0
559,3264,0,2401215.7,6.0,5620000.0
560,5204,1,2607053.04,1.0,2000000.0
561,1680,1,22200290.0,9.0,50000000.0
562,360,1,13654974.92,6.0,50000000.0
563,205,0,0.0,28.0,8000000.0
564,2378,1,0.0,4.0,20000000.0
565,3184,1,608374.2,12.0,4000000.0
566,3204,1,250000.0,6.0,3000000.0
567,71,0,1622657.37,25.0,8600000.0
568,184,0,337063209.42,8.0,20000000.0
569,4293,1,1400000.0,2.0,2000000.0
570,362,1,38000000.0,9.0,50000000.0
571,112,1,2662200.0,8.0,2000000.0
573,4466,1,961988.3,2.0,2000000.0
574,2265,1,0.0,4.0,2000000.0
575,3007,1,199009.0,9.0,2000000.0
576,2131,1,3199500.0,6.0,10000000.0
577,77,0,96807456.85,23.0,144000000.0
578,4054,1,5000000.0,3.0,2000000.0
579,4007,0,0.0,3.0,4000000.0
580,2987,0,27000.0,5.0,4010000.0
581,3311,1,3054400.0,7.0,2000000.0
582,1053,1,16634433.59,12.0,4000000.0
583,4769,1,1836021.23,2.0,2000000.0
584,1647,0,8309931.81,5.0,5000000.0
585,316,1,9000000.0,4.0,2000000.0
586,44,1,42640000.0,5.0,10000000.0
587,4898,1,7123.27,2.0,2000000.0
588,1140,1,1491869.0,7.0,2000000.0
589,2109,1,140000.0,8.0,2000000.0
590,1086,0,13973142.440000001,27.0,4000000.0
591,3323,1,1138941.59,5.0,2000000.0
592,40,1,5335948.98,5.0,4500000.0
593,4492,1,3558659.52,2.0,2000000.0
594,2696,0,1200000.0,8.0,4000000.0
595,2156,1,1110199.0,8.0,5000000.0
596,3099,1,6561998.0,6.0,2000000.0
597,2243,1,26959.52,6.0,3000000.0
599,3620,0,0.0,4.0,5000000.0
600,3554,1,210000.0,4.0,2000000.0
601,1057,1,1647438.28,11.0,8000000.0
602,4941,1,7900458.1,1.0,2000000.0
603,401,1,735200.0,4.0,2000000.0
604,6287,1,2657100.0,3.0,2000000.0
605,3344,0,362000.0,11.0,4000000.0
606,5203,1,8000000.0,1.0,2000000.0
607,4129,1,120000.0,3.0,2000000.0
608,2290,1,18680061.79,11.0,2000000.0
609,449,0,10843649.02,27.0,4000000.0
610,2158,0,255000.0,5.0,4000000.0
611,321,1,12430830.0,10.0,5000000.0
612,3011,1,5029505.75,7.0,2000000.0
615,2485,1,776595.97,6.0,4000000.0
616,5025,1,0.0,1.0,2000000.0
617,4454,1,5000000.0,2.0,2000000.0
618,2081,1,500000.0,4.0,2000000.0
619,4776,1,557500.0,2.0,2000000.0
620,2258,0,0.0,22.0,4000000.0
621,1730,1,0.0,4.0,2000000.0
622,49,1,201600.0,4.0,2000000.0
623,97,0,0.0,25.0,10000000.0
624,183,0,12280000.0,18.0,8000000.0
625,3746,1,0.0,3.0,2000000.0
626,1161,1,279600.0,7.0,2000000.0
627,4508,1,2650000.0,2.0,2000000.0
628,1874,1,1600000.0,6.0,20000000.0
629,2632,0,0.0,7.0,5000000.0
630,2039,1,0.0,7.0,20000000.0
631,2225,1,3146516.08,5.0,5000000.0
632,4970,0,0.0,1.0,6000000.0
633,144,1,132074.66,10.0,2250000.0
634,273,0,33118900.0,11.0,8000000.0
635,2851,0,6546350.0,12.0,4000000.0
636,1888,0,0.0,11.0,4000000.0
637,1168,0,1903558.2,18.0,4000000.0
638,343,0,1270000.0,6.0,4000000.0
639,932,0,2211376.09,25.0,4000000.0
640,2295,1,5066829.09,4.0,2000000.0
641,924,1,8382605.0,6.0,2000000.0
642,3418,1,0.0,10.0,7510000.0
643,2953,1,0.0,10.0,2000000.0
644,5011,1,214105.66,1.0,2000000.0
645,2150,1,190000.0,6.0,2000000.0
646,5315,1,2000000.0,1.0,2000000.0
647,5280,1,2000000.0,1.0,2000000.0
648,1809,0,0.0,10.0,4000000.0
649,4778,1,14639989.86,2.0,2000000.0
650,1810,0,2363690.72,32.0,4000000.0
