,ricf_oid,ba_cn,ba_nfe,ba_hr,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine,fa_dinu,cf_govc,fp_tt_end,Government-Link,Scope
238,294,丽水市莲都区人民教育基金会,0.0,,0.0,0.0,公募,1993年06月30日,,未参评,0,168000,0.00,"12,437,572.29",GLF,Regional
239,307,云南三益文化国防基金会,10.0,,0.0,0.0,非公募,2010年01月14日,,5A,0,803557,0.00,"3,838,740.44",GLF,Regional
240,308,云南东陆教育发展基金会,0.0,,0.0,0.0,非公募,2012年12月31日,,未参评,150000,0,0.00,"2,044,364.65",NGF,Regional
241,309,云南中美二战国际友谊基金会,2.0,,0.0,0.0,公募,2007年02月14日,,3A,0,0,0.00,"123,927.17",GLF,Regional
242,310,云南农业大学有勇奖学基金会,1.0,,0.0,0.0,非公募,2012年10月26日,,未参评,0,0,0.00,"1,604,689.93",GLF,Regional
243,311,云南华商公益基金会,2.0,,0.0,0.0,公募,2011年05月03日,,,"8,298,440.19",0.00,0.00,"7,413,033.88",GLF,Regional
244,312,云南厚德教育基金会,1.0,,0.0,0.0,非公募,2013年04月24日,,未参评,0,0,0.00,"1,155,683.71",NGF,Regional
245,313,云南同行公益基金会,2.0,,1.0,1.0,非公募,2013年06月05日,,未参评,100000,695433,0.00,"4,524,758.99",GLF,Regional
246,314,云南君仁博爱基金会,6.0,,0.0,0.0,非公募,2011年01月26日,,未参评,0,0,0.00,"2,588,471.9",NGF,Regional
247,315,云南启晨生命生存生活教育基金会,4.0,,0.0,0.0,非公募,2011年07月18日,,未参评,0,763000,0.00,"2,654,356.53",NGF,Regional
248,316,云南启航教育基金会,0.0,,0.0,0.0,非公募,2013年06月27日,,未参评,0,2000000,0.00,"2,189,638.94",NGF,Regional
249,317,云南和谊公益基金会,1.0,,0.0,0.0,非公募,2013年08月02日,,未参评,0,1724280.18,0.00,"6,019,137.61",NGF,Regional
250,318,云南国际文化交流基金会,1.0,,0.0,0.0,公募,1986年10月10日,,未参评,0,0,0.00,"4,001,918.91",GLF,Regional
251,319,云南士恒教育基金会,2.0,,1.0,0.0,非公募,2009年12月15日,,3A,0,750000,0.00,"2,079,477.69",NGF,Regional
252,320,云南大理白族自治州扶贫基金会,4.0,,0.0,0.0,公募,1996年08月20日,,未参评,1774280,0,0.00,"5,931,914.22",GLF,Regional
253,321,云南大益爱心基金会,6.0,,0.0,0.0,非公募,2007年12月12日,,5A,0,12367834.16,0.00,"108,016,713.79",NGF,Regional
254,323,云南宝华福田慈善基金会,0.0,,0.0,0.0,非公募,2013年06月05日,,未参评,0,86900,0.00,"2,063,670.42",NGF,Regional
255,324,云南慧邦尼公益基金会,0.0,,0.0,0.0,非公募,2013年10月31日,,未参评,0,0,0.00,"2,019,800",NGF,Regional
256,325,云南振英润云公益基金会,1.0,,0.0,0.0,非公募,2013年12月20日,,未参评,133300,2612909.6,0.00,"3,057,975.2",NGF,Regional
257,326,云南教育基金会,9.0,,0.0,1.0,公募,1988年07月14日,,5A,2633259.24,11691574.5,0.00,"37,702,604.05",GLF,Regional
258,327,云南民族文化发展基金会,7.0,,0.0,1.0,公募,1995年03月01日,,4A,890571.61,1200000,0.00,"8,538,430.22",GLF,Regional
259,328,云南民间国际友好交流基金会,0.0,,0.0,0.0,公募,2013年11月21日,,未参评,0,0,0.00,"5,497,671.96",GLF,Regional
260,330,云南滇池保护治理基金会,4.0,,1.0,0.0,公募,2010年04月06日,,3A,8188,0,0.00,"17,538,407.58",GLF,Regional
261,331,云南省俊发教育扶贫基金会,1.0,,0.0,0.0,非公募,2007年06月01日,,3A,27065,0,0.00,"4,740,825.38",NGF,Regional
262,332,云南省公安民警英烈基金会,2.0,,1.0,0.0,公募,2005年09月27日,,4A,0,4004350,0.00,"111,847,425.07",GLF,Regional
263,333,云南省关心下一代基金会,3.0,,0.0,1.0,公募,2011年12月12日,,未参评,0,90060,0.00,"13,552,911.63",GLF,Regional
264,334,云南省医疗扶贫基金会,10.0,,0.0,1.0,公募,2009年11月03日,,2A,0,98016220,0.00,"12,065,642.2",GLF,Regional
265,335,云南省妇女儿童发展基金会,6.0,,6.0,0.0,公募,1982年07月22日,,4A,5806889.4,0,0.00,"18,397,421.54",GLF,Regional
266,336,云南省工业人才发展基金会,2.0,,0.0,0.0,公募,2013年03月04日,,未参评,0,0,"150,000.00","4,758,639.67",GLF,Regional
267,337,云南省扶贫基金会,8.0,,0.0,0.0,公募,1992年11月01日,,3A,7288120.25,0,0.00,"28,282,036.68",GLF,Regional
268,338,云南省普洱市教育基金会,2.0,,0.0,0.0,公募,2008年09月08日,,,0,0,0.00,"3,689,766.64",GLF,Regional
269,339,云南省杨善洲绿化基金会,6.0,,0.0,0.0,公募,2011年05月26日,,5A,2661895.88,1380380,"350,000.00","9,098,237.11",GLF,Regional
270,340,云南省残疾人福利基金会,8.0,,1.0,0.0,公募,1986年04月16日,,未参评,9191324.37,17400,0.00,"11,601,665.79",GLF,Regional
271,341,云南省法律援助基金会,3.0,,1.0,0.0,公募,2009年10月27日,,2A,12362310.5,0,0.00,"17,718,863.36",GLF,Regional
272,342,云南省泸商长江公益基金会,2.0,,0.0,0.0,非公募,2013年11月18日,,未参评,0,89200,0.00,"2,103,844.85",GLF,Regional
273,343,云南省温暖工程慈善基金会,3.0,,2.0,0.0,公募,2011年03月02日,,2A,541498.78,0,0.00,"4,296,405.71",GLF,Regional
274,344,云南省生物多样性保护基金会,3.0,,4.0,0.0,公募,2010年05月24日,,未参评,0,120000,0.00,"38,435,549.93",GLF,Regional
275,345,云南省禁毒与防治艾滋病基金会,2.0,,0.0,0.0,公募,2005年09月14日,,,0,0,0.00,"2,859,550.38",GLF,Regional
276,346,云南省绿色环境发展基金会,9.0,,0.0,1.0,公募,2008年01月14日,,4A,9336253.37,0,0.00,"9,761,534.42",GLF,Regional
277,347,云南省老龄事业发展基金会,5.0,,1.0,1.0,公募,1988年06月25日,,4A,0,5557000,0.00,"16,168,655.7",GLF,Regional
278,348,云南省董勒成公益发展基金会,2.0,,0.0,0.0,非公募,2007年01月11日,,未参评,0,0,0.00,"855,122.48",NGF,Regional
279,349,云南省见义勇为基金会,3.0,,3.0,1.0,公募,2002年10月22日,,4A,0,381839.13,"2,000,000.00","105,660,025.49",GLF,Regional
280,350,云南省视界留学基金会,0.0,,0.0,0.0,非公募,2010年02月10日,,3A,0,230000,0.00,"2,555,240.16",GLF,Regional
281,351,云南省青少年发展基金会,14.0,,0.0,0.0,公募,1994年07月06日,,5A,85970140.38,0,0.00,"139,500,319.86",GLF,Regional
282,352,云南省青年创业就业基金会,7.0,,0.0,0.0,公募,2009年12月09日,,3A,3298084.2,0,0.00,"9,011,273.9",GLF,Regional
283,354,云南聂耳音乐基金会,0.0,,0.0,1.0,公募,2005年05月25日,,3A,0,0,"223,900.60","4,772,489.29",GLF,Regional
284,356,云南西双版纳州热带雨林保护基金会,3.0,,2.0,0.0,公募,2010年06月21日,,3A,0,1000,"30,000.00","7,214,017.11",GLF,Regional
285,360,亨通慈善基金会,5.0,,0.0,0.0,非公募,2011年02月25日,,未参评,0,7000000,"382,487.23","62,421,833.7",NGF,National
286,362,人保慈善基金会,3.0,,0.0,0.0,非公募,2008年03月21日,,3A,0,29000000,0.00,"81,770,548.94",NGF,National
287,363,亿利公益基金会,1.0,,0.0,0.0,非公募,2011年05月16日,,未参评,0,0,0.00,"28,112,702.93",NGF,National
288,371,仰恩基金会,0.0,,0.0,0.0,非公募,2008年07月02日,,未参评,0,0,0.00,"106,446,098.32",NGF,Regional
289,379,传媒大学教育基金会,7.0,,0.0,0.0,非公募,2007年06月21日,,1A,15405020,0,0.00,"67,525,466.25",GLF,National
290,395,兰坪县大通照昀教育发展基金会,3.0,,0.0,0.0,非公募,2013年06月05日,,未参评,0,0,0.00,"6,792.26",NGF,Regional
291,396,兰州交通大学教育发展基金会,0.0,,2.0,0.0,非公募,2013年09月16日,,未参评,500000,402050,0.00,"7,086,335.13",GLF,Regional
292,397,兰州大学教育发展基金会,6.0,,0.0,0.0,非公募,2013年03月14日,,未参评,10815610.32,749.15,0.00,"35,009,290.47",GLF,National
293,399,兰州市西固区教育发展基金会,0.0,,2.0,0.0,公募,2013年09月16日,,,0.00,0.00,0.00,"2,397,301.21",GLF,Regional
294,400,兰州市见义勇为奖励基金会,1.0,,1.0,0.0,公募,1983年08月16日,,,0.00,"2,580,000.00","500,000.00",,GLF,Regional
295,400,兰州市见义勇为奖励基金会,1.0,,1.0,0.0,公募,1983年08月16日,,,0.00,"2,580,000.00","500,000.00","7,149,659.11",GLF,Regional
296,401,兰州报恩寺慈善基金会,0.0,,2.0,0.0,非公募,2013年06月18日,,未参评,0,335676,0.00,"6,112,204.38",NGF,Regional
297,402,兰州理工大学教育发展基金会,1.0,,8.0,0.0,非公募,2013年07月19日,,未参评,0,3102187.82,0.00,"5,896,446.66",GLF,Regional
298,424,内蒙古李琳公益慈善基金会,0.0,,0.0,0.0,非公募,2011年03月25日,,未参评,0,0,0.00,"1,752,845.01",NGF,Regional
299,468,凯风公益基金会,5.0,,0.0,0.0,非公募,2007年03月01日,,3A,0,0,0.00,"57,235,994.18",NGF,National
300,470,刘彪慈善基金会,0.0,,0.0,0.0,非公募,2012年08月14日,,未参评,0,100000,0.00,"106,968,133.31",NGF,National
301,472,包商银行公益基金会,3.0,,0.0,0.0,非公募,2012年11月08日,,未参评,55000000,2780360.18,0.00,"52,029,702.89",NGF,National
302,505,北京交通大学教育基金会,10.0,,0.0,0.0,非公募,2009年07月29日,,4A,25800585.73,3170000,0.00,"169,428,852.38",GLF,National
303,563,北京大学教育基金会,30.0,,0.0,1.0,非公募,1995年07月04日,,5A,665564316.54,51871.6,0.00,"4,033,543,748.77",GLF,National
304,690,北京理工大学教育基金会,6.0,,0.0,0.0,非公募,2010年01月11日,,4A,30054080.42,31613603.43,0.00,"148,143,110.54",GLF,National
305,698,北京科技大学教育发展基金会,4.0,,0.0,0.0,非公募,2012年05月09日,,3A,26314083.12,2831082,0.00,"61,259,347.56",GLF,Regional
306,712,北京航空航天大学教育基金会,10.0,,0.0,1.0,非公募,2005年05月17日,,4A,50067406.87,3000000,0.00,"516,550,810.3",GLF,National
307,744,北华大学教育基金会,4.0,,0.0,0.0,非公募,2009年09月18日,,,"629,692.22","550,000.00",0.00,"5,834,058.59",GLF,Regional
308,748,华中农业大学教育发展基金会,1.0,,0.0,0.0,非公募,2009年12月31日,,未参评,0,10317070.52,0.00,"51,184,038.14",GLF,Regional
309,751,华侨茶业发展研究基金会,3.0,,0.0,0.0,非公募,1981年09月08日,,3A,0,3630502,0.00,"25,723,808.49",GLF,National
310,752,华民慈善基金会,15.0,,0.0,0.0,非公募,2008年03月11日,,4A,0,1400000,"1,000,000.00","35,758,043.07",NGF,National
311,755,华鼎国学研究基金会,9.0,,0.0,1.0,非公募,2012年04月16日,,未参评,0,7200000,0.00,"47,448,950.03",GLF,National
312,822,南安市仑苍镇教育发展基金会,1.0,,0.0,0.0,非公募,2008年09月02日,,4A,410000,0,0.00,"10,603,619.94",GLF,Regional
313,824,南安市山前扶贫基金会,2.0,,0.0,0.0,非公募,2013年07月26日,,1A,0,721000,0.00,"2,029,116.63",NGF,Regional
314,825,南安市李德茂教育基金会,3.0,,0.0,0.0,非公募,2009年12月05日,,未参评,0,1554668.22,0.00,"4,565,460.18",NGF,Regional
315,826,南安市石井创新社会管理公益基金会,4.0,,4.0,0.0,非公募,2012年05月28日,,3A,0,1000000,0.00,"2,993,508.5",GLF,Regional
316,827,南安市芙蓉基金会,13.0,,3.0,0.0,非公募,1991年12月31日,,5A,0,51934.38,"10,000.00","60,450,679.75",NGF,Regional
317,830,南平市困难党员帮扶基金会,2.0,,0.0,0.0,非公募,2007年06月16日,,4A,0,2238000,0.00,"8,621,170.72",GLF,Regional
318,834,南航“十分”关爱基金会,8.0,,0.0,1.0,非公募,2005年05月13日,,3A,0,10410131.9,0.00,"36,183,758.13",NGF,National
319,856,南都公益基金会,23.0,,0.0,0.0,非公募,2007年05月11日,,4A,814385.24,28135118.25,0.00,"103,229,797.46",NGF,National
320,857,南阳油田中小学教师奖励基金会,0.0,,0.0,0.0,非公募,2006年06月13日,,未参评,0,751000,0.00,"2,437,941.66",GLF,Regional
321,859,厦门中山医院基金会,5.0,,0.0,0.0,非公募,1993年02月06日,,3A,3610180,620570,0.00,"16,159,974.78",GLF,Regional
322,861,厦门双十中学教育基金会,0.0,,0.0,0.0,非公募,2007年02月06日,,1A,130000,1800000,0.00,"30,320,808.21",GLF,Regional
323,863,厦门大学教育发展基金会,0.0,,0.0,0.0,非公募,2006年03月20日,,,0.00,"370,617,466.95",0.00,"697,758,395.18",GLF,Regional
324,865,厦门工商旅游学校教育基金会,1.0,,2.0,0.0,非公募,2006年12月29日,,未参评,0,761000,0.00,"2,730,980.55",GLF,Regional
325,866,厦门市妇女儿童发展基金会,3.0,,0.0,0.0,公募,2011年03月21日,,未参评,1622600,0,0.00,"21,571,789.01",GLF,Regional
326,867,厦门市教育基金会,7.0,,0.0,0.0,公募,1988年09月20日,,5A,41143620.48,629000,0.00,"211,312,330.81",GLF,Regional
327,868,厦门市红十字基金会,12.0,,0.0,0.0,公募,1994年04月08日,,5A,7081728.8,7608154.09,0.00,"63,981,941.81",GLF,Regional
328,870,厦门市翔安区教育基金会,4.0,,0.0,0.0,公募,2012年08月06日,,未参评,29005107.34,20156800,"4,824,780.00","73,225,946.55",GLF,Regional
329,872,厦门市集美社公业基金会,2.0,,0.0,0.0,非公募,1995年01月15日,,4A,0,2000000,0.00,"6,021,813.59",GLF,Regional
330,873,厦门市革命传统教育发展基金会,3.0,,0.0,0.0,非公募,2012年08月06日,,未参评,0,1457000,0.00,"3,671,261.15",GLF,Regional
331,874,厦门建安慈善基金会,7.0,,0.0,0.0,非公募,2007年11月28日,,4A,4779056.06,587530,0.00,"7,683,869.65",NGF,Regional
332,876,厦门残疾人福利基金会,3.0,,0.0,0.0,公募,2006年01月16日,,2A,36733391.94,1821670.6,"2,000,000.00","47,096,343.08",GLF,Regional
