,ricf_oid,ba_cn,ba_nfe,ba_hr,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine,fa_dinu,cf_govc,fp_tt_end,Government-Link,Scope
378,1057,天津中国民航大学教育发展基金会,0.0,,0.0,0.0,非公募,2006年08月01日,,3A,19542002.22,10870.45,0.00,"44,017,343.9",GLF,Regional
379,1058,天津南开大学教育基金会,10.0,,0.0,1.0,非公募,2004年06月02日,,5A,68826258.49,0,0.00,"110,869,513.76",GLF,Regional
380,1059,天津城建大学教育发展基金会,1.0,,0.0,0.0,非公募,2013年12月13日,,未参评,0,431356.8,0.00,"2,672,158.71",GLF,Regional
381,1060,天津外国语大学教育发展基金会,1.0,,0.0,0.0,非公募,2005年10月14日,,3A,1812523.68,44987.5,0.00,"7,293,465.96",GLF,Regional
382,1061,天津大学北洋教育发展基金会,11.0,,0.0,0.0,非公募,1995年08月16日,,5A,161187278.74,0,0.00,"228,338,283.33",GLF,Regional
383,1062,天津宝坻桑梓助学基金会,4.0,,0.0,0.0,公募,2004年12月01日,,3A,0,27800,0.00,"95,270,776.19",GLF,Regional
384,1063,天津市人口福利基金会,3.0,,0.0,2.0,公募,1997年01月01日,,3A,0,650000,"75,000.00","5,776,182.93",GLF,Regional
385,1064,天津市体育发展基金会,0.0,,0.0,0.0,公募,2012年02月27日,,3A,10100000,0,0.00,"16,158,273.81",GLF,Regional
386,1065,天津市佛教慈善功德基金会,4.0,,0.0,0.0,公募,2005年01月25日,,未参评,0,1546084,0.00,"5,591,319.5",GLF,Regional
387,1066,天津市冬朋助学基金会,0.0,,0.0,0.0,非公募,2007年11月07日,,3A,0,100000,0.00,"2,322,591.44",NGF,Regional
388,1067,天津市冯骥才民间文化基金会,1.0,,0.0,0.0,非公募,2004年12月31日,,3A,1593000,0,0.00,"11,576,495.3",NGF,Regional
389,1068,天津市华夏器官移植救助基金会,1.0,,0.0,0.0,非公募,2008年11月22日,,3A,3889880,45610000,0.00,"134,499,553.79",NGF,Regional
390,1069,天津市华夏未来文化艺术基金会,4.0,,0.0,0.0,公募,1993年04月26日,,4A,500000,1660486.64,"5,600,000.00","305,293,816.8",NGF,Regional
391,1070,天津市南开中学教育基金会,3.0,,0.0,1.0,非公募,2010年07月27日,,4A,0,490770,0.00,"75,912,614.54",GLF,Regional
392,1071,天津市南开菁英教育基金会,2.0,,0.0,0.0,非公募,2011年11月21日,,3A,0,200000,0.00,"4,562,126.39",NGF,Regional
393,1073,天津市妇女儿童发展基金会,7.0,,0.0,1.0,公募,2004年11月22日,,4A,38985305.89,0,"2,075,000.00","31,958,714.29",GLF,Regional
394,1074,天津市力高慈善基金会,0.0,,0.0,0.0,非公募,2012年09月26日,,未参评,45000,328010,0.00,"2,337,698.21",GLF,Regional
395,1075,天津市孙洪森助学基金会,0.0,,0.0,0.0,非公募,2012年08月16日,,3A,130000,0,0.00,"2,257,240.61",NGF,Regional
396,1076,天津市宁鸿涛助学基金会,0.0,,0.0,0.0,非公募,2007年09月08日,,3A,0,0,0.00,"2,025,264.42",GLF,Regional
397,1077,天津市宏志教育基金会,1.0,,0.0,0.0,非公募,2007年09月28日,,3A,0,0,0.00,"4,097,756.86",NGF,Regional
398,1078,天津市张君秋艺术基金会,0.0,,0.0,0.0,非公募,1998年04月22日,,未参评,0.00,0.00,0.00,0,NGF,Regional
399,1079,天津市振兴京剧基金会,3.0,,0.0,1.0,公募,1995年01月01日,,未参评,0,0,0.00,"9,734,045.25",GLF,Regional
400,1080,天津市振兴文化艺术基金会,3.0,,0.0,0.0,公募,2012年10月19日,,未参评,0,0,0.00,"187,618,663.8",GLF,Regional
401,1081,天津市支持教育事业公益基金会,0.0,,0.0,0.0,非公募,2010年05月06日,,,0,1000000,0.00,"2,709,945.22",GLF,Regional
402,1082,天津市教育发展基金会,4.0,,0.0,2.0,公募,2004年12月24日,,4A,200000,0,"17,690.00","131,329,884.51",GLF,Regional
403,1083,天津市旅港同乡教育基金会,0.0,,1.0,1.0,非公募,1993年06月28日,,未参评,0,80000,0.00,"2,972,800.11",GLF,Regional
404,1084,天津市景华公益基金会,9.0,,0.0,0.0,非公募,2010年05月27日,,3A,0,1695432.71,0.00,"2,606,201.22",NGF,Regional
405,1085,天津市杨兆兰慈善基金会,0.0,,0.0,0.0,非公募,2012年03月06日,,3A,0,1276870,0.00,"2,555,010.11",NGF,Regional
406,1086,天津市残疾人福利基金会,6.0,,0.0,1.0,公募,1990年02月09日,,4A,785788.73,18998812.28,"75,000.00","21,839,380.18",GLF,Regional
407,1087,天津市民营科技企业发展基金会,0.0,,0.0,0.0,非公募,1983年02月02日,,未参评,0,160000,0.00,"2,070,845.87",GLF,Regional
408,1088,天津市海河文化发展基金会,4.0,,0.0,0.0,公募,2009年07月27日,,4A,2408282.4,0,0.00,"4,023,887.84",NGF,Regional
409,1089,天津市滨海社会救助基金会,2.0,,0.0,0.0,非公募,2008年06月26日,,3A,0,0,0.00,"2,022,348.35",NGF,Regional
410,1090,天津市王克昌奖学基金会,0.0,,0.0,0.0,非公募,2002年12月29日,,未参评,0,0,0.00,"8,943,902.17",GLF,Regional
411,1091,天津市社会救助基金会,4.0,,0.0,0.0,公募,2010年08月09日,,3A,0,0,0.00,"14,190,125.99",GLF,Regional
412,1092,天津市福老基金会,5.0,,0.0,0.0,公募,2008年12月28日,,4A,5000,10000,"47,385.50","24,424,480.27",GLF,Regional
413,1093,天津市第二中学教育发展基金会,0.0,,0.0,0.0,非公募,2008年02月25日,,3A,0,5000,0.00,"5,248,364.03",GLF,Regional
414,1094,天津市红十字基金会,4.0,,0.0,0.0,公募,2012年04月10日,,未参评,0,1824198.1,0.00,"15,466,664.53",GLF,Regional
415,1095,天津市网球发展基金会,2.0,,0.0,0.0,公募,1999年12月22日,,3A,0,200000,0.00,"13,494,416.77",GLF,Regional
416,1096,天津市翔宇教育基金会,4.0,,0.0,0.0,非公募,2012年04月10日,,4A,0,5902465,0.00,"16,158,824.88",NGF,Regional
417,1097,天津市老年基金会,5.0,,0.0,1.0,公募,1992年07月01日,,3A,0,666009,"600,000.00","17,056,445.72",GLF,Regional
418,1098,天津市联合助学基金会,2.0,,0.0,0.0,公募,2005年07月07日,,4A,1710123.5,0,0.00,"4,449,549.57",NGF,Regional
419,1099,天津市自然科学团体活动基金会,0.0,,0.0,0.0,非公募,1990年01月10日,,未参评,0,0,"240,000.00","2,253,901.38",GLF,Regional
420,1100,天津市赵以成医学科学基金会,2.0,,0.0,1.0,非公募,2012年11月26日,,未参评,0,7574922,0.00,"8,898,434.28",NGF,Regional
421,1101,天津市青少年发展基金会,5.0,,0.0,0.0,公募,1997年08月20日,,5A,17164844.86,0,0.00,"17,155,622.32",GLF,Regional
422,1102,天津市青少年科学基金会,3.0,,0.0,0.0,非公募,1994年06月24日,,1A,0,170000,0.00,"2,051,073.93",GLF,Regional
423,1103,天津市青年创业就业基金会,3.0,,0.0,0.0,公募,2009年07月01日,,5A,2000000,3685000,"652,521.10","8,306,925.94",GLF,Regional
424,1104,天津市静海一滴水慈善基金会,0.0,,0.0,0.0,非公募,2013年02月07日,,未参评,0,10000,0.00,"5,925,963.17",GLF,Regional
425,1105,天津市音苑教育发展基金会,2.0,,5.0,0.0,非公募,2003年04月23日,,3A,0,338327.87,0.00,"11,850,046.43",GLF,Regional
426,1106,天津市鹤童老年公益基金会,1.0,,0.0,0.0,非公募,2007年03月05日,,4A,0,4401596.65,0.00,"4,699,105.81",NGF,Regional
427,1107,天津广播电视大学教育发展基金会,1.0,,0.0,0.0,非公募,2007年02月06日,,4A,0,20000,0.00,"2,182,990.28",GLF,Regional
428,1108,天津方放秘书学与公文写作学研究基金会,3.0,,0.0,0.0,非公募,2012年03月31日,,3A,0,233250,0.00,"5,567,807.18",NGF,Regional
429,1109,天津桃李源文化基金会,2.0,,0.0,1.0,非公募,2010年01月28日,,3A,0,0,0.00,"4,565,379.27",GLF,Regional
430,1110,天津理工大学教育发展基金会,0.0,,0.0,0.0,非公募,2008年01月24日,,3A,0,120000,0.00,"6,163,719.5",GLF,Regional
431,1111,天诺慈善基金会,11.0,,0.0,0.0,非公募,2008年01月28日,,3A,0,0,0.00,"2,341,332.02",NGF,National
432,1123,威海市恒盛文化艺术发展基金会,0.0,,0.0,0.0,非公募,2010年03月08日,,未参评,0,15000,"600,000.00","2,429,278.59",GLF,Regional
433,1124,威海市见义勇为基金会,4.0,,0.0,0.0,公募,2005年09月27日,,未参评,0,50,0.00,"7,386,420.55",GLF,Regional
434,1127,孙冶方经济科学基金会,8.0,,0.0,1.0,非公募,1994年12月22日,,3A,1800000,3500000,0.00,"27,397,037.63",GLF,National
435,1159,宁德市教育发展基金会,3.0,,0.0,0.0,公募,2011年08月05日,,未参评,0,321000,0.00,"4,579,650.43",GLF,Regional
436,1160,宁波华茂教育基金会,1.0,,0.0,0.0,非公募,2009年05月25日,,未参评,0,4239398,0.00,"83,027,802.55",NGF,Regional
437,1164,宁波大学教育发展基金会,0.0,,0.0,0.0,非公募,2007年01月17日,,未参评,16607560.79,120000,0.00,"147,094,968.8",GLF,Regional
438,1165,宁波太平洋慈善基金会,2.0,,0.0,0.0,非公募,2007年11月28日,,未参评,0,300000,0.00,"42,965,791.08",NGF,Regional
439,1175,宁波市江北区人民教育基金会,0.0,,0.0,0.0,公募,2005年11月01日,,未参评,0,0,0.00,"30,235,229.91",GLF,Regional
440,1180,宁波市鄞州区人民教育基金会,0.0,,0.0,0.0,公募,2001年02月14日,,未参评,7208000,0,0.00,"22,918,952.95",GLF,Regional
441,1181,宁波市鄞州区正始中学教育发展基金会,1.0,,0.0,0.0,非公募,2013年04月15日,,未参评,0,316000,0.00,"6,193,212.41",GLF,Regional
442,1186,宁波诺丁汉大学教育发展基金会,1.0,,0.0,0.0,非公募,2012年09月04日,,未参评,0,24209293.21,"120,000.00","51,937,423.71",NGF,Regional
443,1189,安利公益基金会,7.0,,0.0,0.0,非公募,2011年01月24日,,4A,17250065.12,32850298.25,0.00,"66,406,611.16",NGF,National
444,1244,安溪县刘鸿基教育基金会,0.0,,0.0,0.0,非公募,2008年09月24日,,未参评,0,0,"71,000.00","3,932,223.68",NGF,Regional
445,1254,宝钢教育基金会,4.0,,0.0,0.0,非公募,2005年12月20日,,4A,0,7002000,0.00,"75,153,383.87",NGF,National
446,1256,实事助学基金会,2.0,,0.0,1.0,非公募,2013年01月05日,,未参评,0,392000,0.00,"38,742,544.75",GLF,National
447,1265,杭州市富阳区人民教育基金会,0.0,,3.0,0.0,公募,1988年08月08日,,未参评,12992500,0,0.00,"107,515,608.59",GLF,Regional
448,1268,寿宁县健民卫生事业发展基金会,3.0,,0.0,0.0,非公募,2012年03月30日,,4A,0,1040000,"600,000.00","7,798,050.01",GLF,Regional
449,1269,寿宁县教育发展基金会,3.0,,0.0,0.0,非公募,2008年12月18日,,4A,0,1200000,"600,000.00","24,128,382.51",GLF,Regional
450,1272,屏南县育才教育发展基金会,3.0,,0.0,0.0,非公募,2012年10月19日,,未参评,84500,350000,"3,600,000.00","3,785,006.8",GLF,Regional
451,1274,山东农业大学教育发展基金会,0.0,,0.0,0.0,非公募,2012年05月30日,,未参评,170000,2080694.5,0.00,"22,997,990.97",GLF,Regional
452,1275,山东商业职业技术学院助学基金会,2.0,,2.0,0.0,非公募,2008年09月22日,,未参评,0,225000,0.00,"2,644,547.9",GLF,Regional
453,1276,山东墨子基金会,2.0,,1.0,0.0,非公募,1995年08月29日,,未参评,0,0,0.00,"2,114,143.3",GLF,Regional
454,1277,山东外事翻译职业学院教育基金会,2.0,,0.0,0.0,非公募,2009年06月18日,,未参评,0,400000,0.00,"2,694,151.12",NGF,Regional
455,1278,山东大学教育基金会,7.0,,0.0,0.0,非公募,2007年10月11日,,未参评,24400964.1,0,0.00,"125,878,916.46",GLF,Regional
456,1279,山东工商学院教育发展基金会,0.0,,2.0,0.0,非公募,2011年11月27日,,未参评,207807.11,1043151,0.00,"2,904,940.12",GLF,Regional
457,1280,山东泛海公益基金会,3.0,,0.0,0.0,非公募,2013年08月02日,,未参评,0,4550000,0.00,"50,033,301.89",NGF,Regional
458,1281,山东环境保护基金会,2.0,,0.0,0.0,公募,2001年11月16日,,未参评,1246000,80000,0.00,"3,523,858.56",GLF,Regional
459,1282,山东理工大学教育发展基金会,3.0,,0.0,0.0,非公募,2011年05月09日,,未参评,2433295.4,0,0.00,"4,313,709.69",GLF,Regional
460,1283,山东省中国海洋大学教育基金会,6.0,,0.0,0.0,非公募,2010年04月29日,,未参评,3713973,2735338.65,0.00,"23,720,272.62",GLF,Regional
461,1284,山东省乐安慈孝公益基金会,0.0,,0.0,0.0,非公募,2010年08月24日,,未参评,0,2925600,0.00,"21,727,708.58",NGF,Regional
462,1285,山东省人口关爱基金会,5.0,,0.0,0.0,公募,2007年02月13日,,未参评,0,18911111.02,0.00,"13,902,098.15",GLF,Regional
463,1286,山东省企联企业管理科学基金会,5.0,,0.0,0.0,非公募,1989年04月07日,,未参评,0,0,0.00,"3,425,682.14",NGF,Regional
464,1287,山东省体育基金会,0.0,,3.0,0.0,公募,2013年04月27日,,未参评,0,0,"2,000,000.00","60,698,007.43",GLF,Regional
465,1288,山东省儿童少年福利基金会,3.0,,2.0,1.0,公募,1981年05月04日,,未参评,567732.6,0,0.00,"4,503,314.49",GLF,Regional
466,1289,山东省公安民警优抚基金会,6.0,,1.0,0.0,公募,2003年12月17日,,,12458000,2206000,"323,000.00","79,420,379.32",GLF,Regional
467,1290,山东省南山老龄事业发展基金会,4.0,,0.0,0.0,非公募,2012年10月08日,,未参评,0,43212720,0.00,"2,397,641.59",NGF,Regional
468,1291,山东省友芳公益基金会,0.0,,0.0,0.0,非公募,2012年12月05日,,未参评,0,1102000,0.00,"27,196,347.64",NGF,Regional
469,1292,山东省教育基金会,10.0,,0.0,0.0,公募,2007年01月19日,,未参评,18848000,64173143.28,0.00,"137,098,548.21",GLF,Regional
470,1293,山东省普觉公益基金会,4.0,,0.0,0.0,非公募,2013年05月13日,,未参评,1680694.05,1124666.98,0.00,"2,835,966.4",NGF,Regional
471,1294,山东省武训教育基金会,6.0,,0.0,0.0,非公募,2008年03月18日,,未参评,0,619780,0.00,"2,072,716.54",GLF,Regional
472,1295,山东省残疾人福利基金会,9.0,,1.0,1.0,公募,1986年12月01日,,,"1,208,566.48","24,207,945.10",0.00,"40,826,127.14",GLF,Regional
473,1296,山东省石油大学教育发展基金会,5.0,,0.0,0.0,非公募,2004年12月02日,,未参评,3794089.14,170114.12,0.00,"63,978,102.74",GLF,Regional
474,1298,山东省老龄事业发展基金会,9.0,,0.0,0.0,公募,1988年05月10日,,未参评,"100,000.00","160,056.00",0.00,"5,372,453.11",GLF,Regional
475,1299,山东省胜利油田地学开拓基金会,5.0,,0.0,0.0,非公募,2005年03月24日,,1A,0,18000,0.00,"15,312,310.1",NGF,Regional
476,1300,山东省胜利石油工程技术创新基金会,3.0,,0.0,0.0,非公募,2012年09月18日,,未参评,0,200000,0.00,"3,905,988.87",GLF,Regional
477,1301,山东省见义勇为基金会,9.0,,1.0,1.0,公募,1994年02月01日,,未参评,0,0,0.00,"11,854,754.54",GLF,Regional
478,1302,山东省送温暖工程基金会,3.0,,0.0,0.0,公募,1996年05月07日,,未参评,0,0,0.00,"28,758,238.58",GLF,Regional
479,1303,山东省青少年发展基金会,7.0,,2.0,0.0,公募,1993年06月08日,,未参评,28731741.43,0,0.00,"55,279,931.86",GLF,Regional
480,1304,山东省青岛第二中学教育发展基金会,4.0,,0.0,0.0,非公募,2012年06月25日,,未参评,9998411.56,137482.08,0.00,"15,850,130.4",GLF,Regional
481,1305,山东省青年创业就业基金会,0.0,,1.0,0.0,公募,2009年12月25日,,3A,400000,0,"50,000.00","6,469,311.27",GLF,Regional
482,1306,山东省鲁卫预防性病艾滋病基金会,2.0,,0.0,0.0,非公募,2004年09月30日,,未参评,0,0,0.00,"1,890,322.24",GLF,Regional
483,1307,山东省彩虹援助基金会,3.0,,0.0,0.0,非公募,2005年12月26日,,未参评,0,4000000,0.00,"16,432,168.45",NGF,Regional
484,1309,山东科技大学教育发展基金会,4.0,,0.0,0.0,非公募,2008年11月07日,,4A,310000,1141200,0.00,"10,786,053.48",GLF,Regional
485,1310,山东英才学院教育发展基金会,1.0,,0.0,0.0,非公募,2012年05月15日,,未参评,4043851,2620000,0.00,"5,862,563.34",NGF,Regional
486,1311,山东财经大学教育基金会,0.0,,1.0,0.0,非公募,2008年07月07日,,未参评,1182338.94,1190140.1,0.00,"28,203,470.31",GLF,Regional
487,1354,山西省程海庆教育基金会,3.0,,0.0,0.0,非公募,2012年07月31日,,未参评,0,0,0.00,"3,339,449.84",NGF,Regional
488,1409,平顶山市人民教育基金会,9.0,,0.0,0.0,公募,1991年06月12日,,未参评,0,568624.1,0.00,"4,986,849.29",GLF,Regional
489,1645,延吉市人民教育基金会,4.0,,3.0,0.0,公募,2003年04月02日,,未参评,276900,83200,0.00,"4,226,405.7",GLF,Regional
490,1646,延吉市公安民警优抚基金会,0.0,,0.0,0.0,非公募,2013年10月29日,,,0.00,0.00,0.00,"2,082,845.69",GLF,Regional
491,1647,延安市残疾人福利基金会,2.0,,1.0,4.0,公募,2012年03月23日,,未参评,0,11622673.9,0.00,"10,167,004.63",GLF,Regional
492,1649,延边大学教育基金会,10.0,,0.0,0.0,非公募,2006年10月31日,,5A,4706932.06,242500,0.00,"20,921,011.07",GLF,Regional
493,1652,建德市见义勇为基金会,3.0,,0.0,0.0,公募,2008年06月26日,,未参评,0,0,0.00,"10,841,211.86",GLF,Regional
494,1655,开明慈善基金会,3.0,,1.0,3.0,非公募,2012年04月28日,,3A,5997956.27,2013050,0.00,"32,937,792.84",GLF,National
495,1656,张学良教育基金会,3.0,,0.0,0.0,非公募,2006年03月16日,,2A,8879753.76,4057867,0.00,"44,725,607.56",GLF,National
496,1676,德州市见义勇为基金会,3.0,,1.0,0.0,公募,2010年12月31日,,未参评,0,450000,0.00,"7,942,379.11",GLF,Regional
497,1677,德康博爱基金会,4.0,,0.0,0.0,非公募,2011年06月14日,,未参评,0,6845938,0.00,"58,723,426.86",NGF,National
498,1677,德康博爱基金会,4.0,,0.0,0.0,非公募,2011年06月14日,,未参评,0,6845938,0.00,"58,723,426.86",NGF,National
499,1680,心平公益基金会,10.0,,0.0,0.0,非公募,2008年09月19日,,3A,0,29000310,0.00,"51,921,435.22",NGF,National
500,1680,心平公益基金会,10.0,,0.0,0.0,非公募,2008年09月19日,,3A,0,29000310,0.00,"51,921,435.22",NGF,National
501,1681,思利及人公益基金会,5.0,,0.0,0.0,非公募,2012年12月10日,,未参评,15796738,1269734.47,0.00,"28,816,169.44",NGF,National
502,1715,抚顺市公安民警救助基金会,3.0,,0.0,0.0,公募,2007年08月31日,,未参评,0,425750,"3,468,500.00","10,928,739.11",GLF,Regional
503,1716,抚顺市雷锋基金会,0.0,,5.0,0.0,公募,2013年12月18日,,未参评,0,2200,0.00,"4,809,141.66",GLF,Regional
504,1717,招商局慈善基金会,7.0,,0.0,0.0,非公募,2009年06月15日,,4A,1213528.52,38002000,0.00,"59,697,264.77",NGF,National
505,1725,文成县人民教育基金会,0.0,,0.0,0.0,公募,2010年10月14日,,未参评,0,93650,0.00,"4,296,107.85",GLF,Regional
506,1734,新昌县人民教育基金会,2.0,,0.0,0.0,公募,2004年08月03日,,未参评,0,3952000,0.00,"6,556,049.64",GLF,Regional
507,1735,新昌县道才公益基金会,2.0,,0.0,0.0,非公募,2013年01月14日,,未参评,0,0,0.00,"10,846,112.82",NGF,Regional
508,1736,新昌爱莲美丽乡村基金会,0.0,,0.0,0.0,非公募,2011年06月01日,,未参评,0,0,0.00,"7,772,982.44",NGF,Regional
509,1744,新疆溢达杨元龙教育基金会,1.0,,0.0,0.0,非公募,2011年06月07日,,4A,1586953.63,2952.5,0.00,"2,566,155.32",NGF,Regional
510,1766,日照职业技术学院教育基金会,0.0,,3.0,0.0,非公募,2013年06月14日,,未参评,0,357978.86,0.00,"3,433,301.89",GLF,Regional
511,1772,昆明市春蕾少年儿童基金会,2.0,,0.0,0.0,公募,2009年11月30日,,3A,0,2509397.56,"120,000.00","11,149,900.52",GLF,Regional
512,1773,昆明市社会治安基金会,3.0,,0.0,0.0,公募,1994年02月26日,,未参评,0,0,0.00,"9,564,851.26",GLF,Regional
513,1774,昆明市见义勇为基金会,2.0,,2.0,0.0,公募,2003年02月13日,,3A,0,0,"2,008,500.00","11,560,791.96",GLF,Regional
514,1775,晋江市侨声中学教育发展基金会,4.0,,0.0,0.0,非公募,2008年07月29日,,3A,0,1109897.3,0.00,"5,343,755.5",GLF,Regional
515,1779,晋江市紫峰中学教育基金会,0.0,,0.0,0.0,非公募,2010年01月08日,,未参评,0,70000,0.00,"4,006,762.16",GLF,Regional
516,1781,晋江市英林中心小学教育基金会,3.0,,0.0,0.0,非公募,2011年10月12日,,未参评,0,397800,0.00,"4,613,881.59",GLF,Regional
517,1785,晋江市陈埭民族中学教育基金会,1.0,,0.0,0.0,非公募,2010年11月25日,,未参评,0,2163908.34,0.00,"34,133,506.2",GLF,Regional
518,1786,晋江市青阳教育发展基金会,0.0,,0.0,0.0,非公募,2007年09月27日,,未参评,18019234,10200000,0.00,"76,981,235.46",GLF,Regional
519,1792,智善公益基金会,4.0,,0.0,0.0,非公募,2012年12月22日,,未参评,2020000,217849.92,0.00,"111,939,926.88",NGF,National
520,1793,曲阜师范大学孔子教育基金会,1.0,,3.0,0.0,非公募,2010年07月23日,,未参评,0,1154876,0.00,"2,369,242.73",GLF,Regional
521,1794,朝阳市人民法官救助基金会,4.0,,0.0,0.0,公募,2012年06月01日,,未参评,0,2000,0.00,"5,289,749.13",GLF,Regional
522,1795,朝阳市公安民警救助基金会,0.0,,0.0,0.0,公募,2010年05月13日,,未参评,0,621000,0.00,"7,536,839.67",GLF,Regional
523,1796,本溪市公安民警救助基金会,3.0,,0.0,0.0,公募,2009年12月15日,,未参评,0,2163800,0.00,"10,367,542",GLF,Regional
524,1797,本溪市教育基金会,2.0,,0.0,0.0,公募,2010年12月08日,,未参评,147000,1023900,0.00,"12,700,545.72",GLF,Regional
525,1798,李可染艺术基金会,2.0,,0.0,0.0,非公募,1998年03月24日,,2A,0,2159520.76,0.00,"21,260,197.54",NGF,National
526,1799,李四光地质科学奖基金会,0.0,,1.0,0.0,非公募,2007年04月03日,,2A,0,0,0.00,"39,142,209.22",GLF,National
527,1818,杭州市萧山区见义勇为基金会,1.0,,0.0,0.0,公募,1992年08月01日,,未参评,0,0,0.00,"5,717,716.66",GLF,Regional
528,1822,杭州市送温暖工程基金会,0.0,,2.0,0.0,公募,1998年07月28日,,未参评,0,1395.35,0.00,"16,358,532.33",GLF,Regional
529,1828,松原市公安民警优抚基金会,0.0,,3.0,0.0,非公募,2011年12月21日,,未参评,0,0,0.00,"4,274,320.09",GLF,Regional
530,1830,林则徐基金会,6.0,,0.0,0.0,非公募,1995年11月06日,,2A,231246,0,0.00,"6,993,670.35",GLF,Regional
531,1831,枣庄市见义勇为基金会,0.0,,0.0,0.0,公募,2013年07月02日,,未参评,0,0,"600,000.00","15,632,316.97",GLF,Regional
532,1834,桃源居公益事业发展基金会,4.0,,0.0,0.0,非公募,2008年07月16日,,4A,0,1550000,0.00,"104,806,832.88",NGF,National
533,1835,桐乡市人民教育基金会,1.0,,0.0,0.0,公募,2010年04月22日,,1A,0,8961500,0.00,"13,190,675.36",GLF,Regional
534,1845,欧美同学基金会,7.0,,0.0,0.0,公募,1989年06月06日,,未参评,9200000,420000,0.00,"8,087,934.97",GLF,National
535,1851,武汉大学韩德培法学基金会,1.0,,0.0,0.0,非公募,2009年09月24日,,未参评,100000,1284526.16,0.00,"3,429,682.68",GLF,Regional
536,1853,武汉工程大学教育发展基金会,2.0,,0.0,1.0,非公募,2012年05月18日,,未参评,332777.1,537000,0.00,"9,182,351.48",GLF,Regional
537,1857,武汉市法律援助基金会,1.0,,0.0,0.0,公募,2012年01月18日,,3A,0,750000,"200,000.00","11,655,189.73",GLF,Regional
538,1861,武汉张培刚发展经济学研究基金会,2.0,,0.0,0.0,非公募,2004年06月01日,,4A,0,200000,0.00,"9,547,588.97",GLF,Regional
539,1863,武汉理工大学教育发展基金会,10.0,,0.0,0.0,非公募,2010年07月15日,,5A,23948805.54,0,0.00,"35,885,615.89",GLF,Regional
540,1864,武汉白鱀豚保护基金会,0.0,,0.0,0.0,公募,1996年12月23日,,3A,601638.27,0,0.00,"7,231,424.5",GLF,Regional
541,1866,比亚迪慈善基金会,2.0,,0.0,0.0,非公募,2010年07月19日,,3A,735585,2293050,0.00,"21,836,236.49",NGF,National
542,1867,民福社会福利基金会,0.0,,0.0,0.0,非公募,2012年04月13日,,未参评,0,1000000,0.00,"21,257,025.6",NGF,National
543,1869,永安市第一中学教育基金会,0.0,,0.0,0.0,非公募,2009年04月29日,,未参评,0,10108.02,0.00,"4,310,061.67",GLF,Regional
544,1874,永恒慈善基金会,0.0,,0.0,0.0,非公募,2011年06月02日,,未参评,1600000,0,0.00,"20,083,032.22",NGF,National
545,2031,沈阳市公安民警英烈救助基金会,4.0,,0.0,0.0,公募,2009年04月21日,,3A,0,0,0.00,"8,733,880.11",GLF,Regional
546,2031,沈阳市公安民警英烈救助基金会,4.0,,0.0,0.0,公募,2009年04月21日,,3A,0,0,0.00,"8,733,880.11",GLF,Regional
547,2032,沈阳市教育基金会,7.0,,0.0,0.0,公募,2005年03月23日,,5A,210000,25571513.01,"400,000.00","34,188,794.74",GLF,Regional
548,2033,沈阳市残疾人福利基金会,0.0,,0.0,0.0,公募,2008年01月08日,,3A,2857146,1226179.2,0.00,"7,797,865.85",GLF,Regional
549,2034,沈阳市职工爱心慈善基金会,1.0,,0.0,1.0,公募,2006年09月19日,,5A,10703706.72,0,"248,794.90","37,937,595.01",GLF,Regional
550,2035,沈阳市见义勇为基金会,3.0,,0.0,1.0,公募,2008年03月03日,,未参评,0,0,0.00,"3,418,414.23",GLF,Regional
551,2039,河仁慈善基金会,7.0,,0.0,1.0,非公募,2010年06月07日,,未参评,,,0.00,"3,583,645,998.2",NGF,National
552,2054,河北省志愿服务基金会,5.0,,0.0,0.0,公募,2013年01月09日,,4A,2242139.79,1879215.03,0.00,"5,708,201.08",GLF,Regional
553,2055,河北省扶贫基金会,7.0,,2.0,0.0,公募,2013年10月01日,,5A,23433226.74,1730310.86,0.00,"22,511,825.19",GLF,Regional
554,2056,河北省撒可富教育基金会,0.0,,0.0,0.0,非公募,2005年06月13日,,4A,0,245000,0.00,"17,984,636.33",NGF,Regional
555,2059,河北省新联合公益基金会,2.0,,0.0,0.0,非公募,2011年11月14日,,4A,0,639283.56,"500,000.00","3,352,612.28",NGF,Regional
556,2071,河北省见义勇为基金会,6.0,,0.0,0.0,公募,1994年06月04日,,5A,1040000,1000,0.00,"32,400,851.34",GLF,Regional
557,2075,河北省青少年发展基金会,9.0,,3.0,0.0,公募,1993年06月07日,,5A,55783786.5,0,0.00,"72,310,533.06",GLF,Regional
558,2076,河北省青年就业创业基金会,1.0,,0.0,0.0,非公募,2009年09月26日,,未参评,0,1000000,0.00,"5,070,709.5",GLF,Regional
559,2078,河北石家庄二中教育发展基金会,0.0,,0.0,0.0,非公募,2011年07月24日,,未参评,0,0,0.00,"2,020,667.21",GLF,Regional
560,2082,河南中原大佛基金会,6.0,,0.0,0.0,公募,2008年08月25日,,未参评,0,953157.49,0.00,"9,193,933.1",GLF,Regional
561,2085,河南大学教育发展基金会,9.0,,0.0,0.0,非公募,2011年06月10日,,4A,9959000,298.46,0.00,"44,763,498.23",GLF,National
