,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt,sc_gongo,sco_na,Province,ba_age,fa_dint,ba_gvof
479,1086,天津市残疾人福利基金会,5,3,0,1.0,1990-02-09,23.0,4,1402870.3,12570272.14,1.5,1951.96,1,0,Tianjin,25.0,1397.31,30
482,2696,甘肃省公安民警英烈基金会,4,0,0,1.0,2009-01-13,25.0,3,0.0,1200000.0,0.0,1604.12,1,0,Gansu,6.0,120.0,00
484,3099,重庆师范大学教育发展基金会,4,0,0,0.0,2011-12-27,10.0,2,0.0,6561998.0,0.0,1300.41,1,0,Chongqing,4.0,656.2,00
489,1057,天津中国民航大学教育发展基金会,0,0,0,0.0,2006-08-01,11.0,3,1647438.02,0.26,0.0,3753.46,1,0,Tianjin,9.0,164.74,00
494,449,内蒙古自治区青少年发展基金会,8,0,0,1.0,1990-07-10,15.0,4,10663649.02,180000.0,0.0,2912.03,1,0,Neimenggu,25.0,1084.36,00
496,321,云南大益爱心基金会,6,0,0,0.0,2007-12-12,6.0,5,0.0,12430830.0,0.0,11432.59,0,0,Yunnan,8.0,1243.08,00
502,2258,浙江省农业技术推广基金会,9,1,0,1.0,1995-08-08,19.0,4,0.0,0.0,0.0,14727.91,1,0,Zhejiang,20.0,0.0,10
506,183,中华国际科学交流基金会,11,0,0,1.0,1999-07-01,7.0,2,12280000.0,0.0,0.0,842.28,1,1,Beijing,16.0,1228.0,00
514,273,中国西部人才开发基金会,16,0,0,1.0,2006-09-18,21.0,4,29837010.0,3281890.0,100.0,5995.13,1,1,Beijing,9.0,3311.89,00
518,343,云南省温暖工程慈善基金会,3,0,0,1.0,2011-03-02,5.0,2,1270000.0,0.0,0.0,482.76,1,0,Yunan,4.0,127.0,00
520,2295,浙江省瑞安中学教育发展基金会,3,0,0,0.0,2013-01-08,8.0,5,407025.0,4659804.09,0.0,1504.92,1,0,Zhejiang,2.0,506.68,00
522,3418,重庆市光明基金会,1,0,0,0.0,2007-03-19,9.0,2,0.0,0.0,0.0,721.65,0,0,Chongqing,8.0,0.0,00
523,2953,诸暨市九鼎教育基金会,0,0,0,0.0,2007-04-20,6.0,5,0.0,0.0,0.0,201.72,0,0,Zhejiang,8.0,0.0,00
528,3025,辽宁省见义勇为基金会,4,0,0,1.0,1997-06-09,19.0,3,0.0,0.0,410.0,580.23,1,0,Liaoning,18.0,0.0,00
532,2764,福建宏利基金会,2,0,0,0.0,1999-06-18,15.0,3,0.0,703000.0,0.0,210.71,0,0,Fujian,16.0,70.3,00
539,188,中华社会救助基金会,34,0,1,1.0,2009-01-12,13.0,4,167873164.19,5839938.66,120.0,15477.42,1,1,Beijing,6.0,17371.31,01
544,1067,天津市冯骥才民间文化基金会,1,0,0,0.0,2004-12-31,6.0,3,0.0,0.0,0.0,1095.63,0,0,Tianjin,11.0,0.0,00
546,200,中国人口福利基金会,33,0,0,1.0,1987-06-10,19.0,4,199915832.3,5296575.72,1797.87,23134.87,1,1,Beijing,28.0,20521.24,00
550,3539,河北省妇女儿童发展基金会,3,0,1,1.0,1982-02-08,25.0,5,12514315.65,456400.0,0.0,1805.48,1,0,Hebei,33.0,1297.07,01
551,3207,陕西省老龄事业发展基金会,6,0,0,1.0,1988-02-03,11.0,3,0.0,2241964.3,150.0,5453.95,1,0,Shaanxi,27.0,224.2,00
558,1073,天津市妇女儿童发展基金会,7,0,1,1.0,2004-11-22,22.0,4,20282101.14,0.0,107.5,3387.93,1,0,Tianjin,11.0,2028.21,01
566,351,云南省青少年发展基金会,14,0,0,1.0,1994-07-06,10.0,5,91589770.11,0.0,0.0,16276.87,1,0,Yunnan,21.0,9158.98,00
568,1844,榆林市胡星元慈善基金会,2,1,0,0.0,2006-06-16,7.0,3,0.0,0.0,0.0,2610.36,1,0,Shaanxi,9.0,0.0,10
570,967,哈尔滨理工大学教育发展基金会,2,0,0,0.0,2010-10-12,11.0,4,1651748.0,3000.0,0.0,815.67,1,0,Heilongjiang,5.0,165.47,00
574,3169,陕西妇女儿童发展基金会,6,0,0,1.0,2009-11-19,9.0,4,11467978.34,40610.98,0.0,821.2,1,0,Shaanxi,6.0,1150.86,00
576,957,哈尔滨市残疾人福利基金会,7,1,0,1.0,1986-06-25,15.0,4,1208372.8,269104.1,0.0,1147.2,1,0,Heilongjiang,29.0,147.75,10
577,189,中华社会文化发展基金会,11,0,0,1.0,1993-02-09,17.0,3,22881092.95,2324402.05,0.0,5167.53,1,1,Beijing,22.0,2520.55,00
580,925,吉林省教育基金会,6,0,0,1.0,1988-06-06,9.0,3,0.0,2262.12,0.0,2190.02,1,0,Jilin,27.0,0.23,00
581,331,云南省俊发教育扶贫基金会,1,0,0,0.0,2007-06-01,5.0,3,1638890.0,0.0,0.0,485.2,0,0,Yunnan,8.0,163.89,00
585,3269,青海省雪域仁济慈善基金会,6,0,0,0.0,2008-12-17,5.0,3,2662280.0,2707298.0,0.0,209.95,0,0,Qinghai,7.0,536.96,00
586,2828,福建福海文教基金会,4,0,0,0.0,1994-08-03,19.0,3,0.0,2000.0,18.0,241.55,0,0,Fujian,21.0,0.2,00
587,3398,重庆市彭水王应田教育基金会,2,0,0,0.0,1996-06-20,5.0,1,0.0,0.0,0.0,562.81,0,0,Chongqing,19.0,0.0,00
592,1064,天津市体育发展基金会,0,0,0,1.0,2012-02-27,12.0,3,0.0,0.0,0.0,1616.58,1,0,Tianjin,3.0,0.0,00
593,2710,甘肃省老年基金会,5,0,0,1.0,1988-06-16,3.0,2,600000.0,0.0,0.0,607.73,1,0,Gansu,27.0,60.0,00
594,56,上海市人口福利基金会,0.0,0,0.0,1.0,1992年03月18日,25.0,5,4919343.29,442142.32,0.0,803.59,1,0,Shanghai,23.0,536.15,00.0
595,1837,桐庐县老龄事业发展基金会,1,0,0,1.0,2009-04-18,28.0,3,39900.0,0.0,0.0,575.82,1,0,Zhejiang,6.0,3.99,00
598,1843,榆林学院教育发展基金会,6,0,0,0.0,2012-06-21,10.0,3,0.0,2905978.0,0.0,1180.4,1,0,Shaanxi,3.0,290.6,00
601,3161,陈香梅公益基金会,5,0,0,0.0,2010-06-22,9.0,3,2575726.89,330305.16,220.0,2199.85,0,1,Beijing,5.0,290.6,00
603,3182,陕西省公安民警英烈基金会,6,0,0,1.0,2010-12-06,25.0,3,0.0,2056850.0,0.0,9436.28,1,0,Shaanxi,5.0,205.68,00
606,3327,黑龙江省残疾人福利基金会,7,1,0,1.0,1986-06-20,25.0,5,0.0,15941291.79,0.0,1317.86,1,0,Heilongjiang,29.0,1594.13,10
608,349,云南省见义勇为基金会,3,2,1,1.0,2002-10-22,25.0,4,0.0,129201.79,460.0,10731.96,1,0,Yunnan,13.0,12.92,21
611,2068,河北省红十字基金会,16,0,0,1.0,2008-12-28,21.0,5,0.0,9743720.69,0.0,3021.92,1,0,Hebei,7.0,974.37,00
612,274,中国金融教育发展基金会,14,0,0,1.0,1992-05-14,20.0,3,34359262.2,5148726.8,0.0,11053.62,1,1,Beijing,23.0,3950.8,00
613,72,上海市应昌期围棋教育基金会,6.0,0,0.0,0.0,2002年01月10日,5.0,3,0.0,0.0,12.0,4081.69,0,0,Shanghai,13.0,0.0,00.0
615,3170,陕西存义公益基金会,2,0,0,0.0,2012-06-21,14.0,3,0.0,0.0,0.0,568.58,0,0,Shaanxi,3.0,0.0,00
617,886,台州市社会组织发展基金会,0,0,0,0.0,2009-12-03,5.0,4,0.0,420000.0,0.0,1516.49,1,0,Zhejiang,6.0,42.0,00
618,2834,福建集美大学教育发展基金会,2,0,0,0.0,1993-09-10,23.0,3,17345460.87,1000000.0,0.0,13500.64,1,0,Fujian,22.0,1834.55,00
624,2676,王振滔慈善基金会,4,0,0,0.0,2006-12-07,13.0,3,2500000.0,6500000.0,0.0,2024.22,0,1,Zhejiang,9.0,900.0,00
628,1407,平阳县社会治安综合治理基金会,3,0,0,1.0,2011-06-01,5.0,3,0.0,0.0,80.0,327.51,1,0,Zhejiang,4.0,0.0,00
634,52,上海工商界爱国建设特种基金会,2.0,0,0.0,0.0,1993年01月08日,23.0,3,0.0,0.0,0.0,21099.41,0,0,Shanghai,22.0,0.0,00.0
641,960,哈尔滨市见义勇为奖励基金会,0,4,0,1.0,2000-10-11,14.0,3,0.0,0.0,0.0,780.84,1,0,Heilongjiang,15.0,0.0,40
643,242,中国文物保护基金会,15,0,1,1.0,1990-07-17,13.0,3,27018181.34,1085317.72,612.88,3824.38,1,1,Beijing,25.0,2810.35,01
649,2061,河北省残疾人福利基金会,10,1,0,1.0,1986-01-01,6.0,5,7015400.91,4060695.72,0.0,1453.15,1,0,Hebei,29.0,1107.61,10
652,266,中国绿化基金会,19,0,2,1.0,1985-09-27,21.0,3,54451883.62,0.0,517.63,23382.48,1,1,Beijing,30.0,5445.19,02
656,1036,国家电网公益基金会,1,0,0,0.0,2009-03-12,8.0,3,16570000.0,0.0,0.0,15191.8,0,1,Beijing,6.0,1657.0,00
660,952,哈尔滨工业大学教育发展基金会,11,0,0,0.0,2009-11-24,21.0,5,50009919.53,9895230.3,0.0,20400.23,1,0,Heilongjiang,6.0,5990.51,00
661,3008,辽宁省国防教育基金会,1,0,0,1.0,2012-09-03,6.0,4,0.0,801109.0,0.0,409.62,1,0,Liaoning,3.0,80.11,00
662,2973,贵州省残疾人福利基金会,1,2,0,1.0,2009-05-05,20.0,4,6650000.0,0.0,0.0,589.29,1,0,Guizhou,6.0,665.0,20
664,2959,贵州省人口福利基金会,14,0,0,1.0,2009-03-18,6.0,5,35945122.83,3680857.99,60.9,16390.88,1,0,Guizhou,6.0,3962.6,00
672,2695,甘肃省世恩慈善基金会,3,0,0,0.0,2009-09-02,10.0,4,0.0,777129.0,0.0,297.02,0,0,Gansu,6.0,77.71,00
675,3602,丹东市双灵慈善基金会,1,0,0,0.0,2012-02-21,18.0,4,0.0,5452476.0,0.0,3239.69,0,0,Liaoning,3.0,545.25,00
677,1616,广西医学教育与科学研究发展基金会,2,0,0,1.0,2010-07-27,25.0,4,1335000.0,2800000.0,0.0,902.52,1,0,Guangxi,5.0,413.5,00
679,2971,贵州省教育发展基金会,21,0,0,1.0,2011-06-30,11.0,3,73103837.3,6859157.96,0.0,4412.69,1,0,Guizhou,4.0,7996.3,00
682,3325,黑龙江省妇女儿童基金会,8,0,0,1.0,1986-05-12,10.0,5,0.0,4229667.34,0.0,1207.36,1,0,Heilongjiang,29.0,422.97,00
683,3397,援助西藏发展基金会,20,4,3,1.0,1987-04-10,12.0,3,0.0,99657883.0,0.0,4126.55,1,1,Xizang,28.0,9965.79,43
688,3312,黑龙江省东北石油大学教育发展基金会,4,0,0,0.0,2010-09-13,11.0,4,205000.0,0.0,0.0,313.18,1,0,Heilongjiang,5.0,20.5,00
691,1799,李四光地质科学奖基金会,0,0,0,0.0,2007-04-03,17.0,2,0.0,0.0,0.0,3809.29,1,1,Beijing,8.0,0.0,00
692,930,吉林省神华社会救助基金会,2,0,0,0.0,2010-05-26,22.0,3,0.0,1500000.0,0.0,1046.31,0,0,Shanghai,5.0,150.0,00
697,3308,黑龙江大学教育发展基金会,5,0,0,0.0,2010-12-21,15.0,3,2560000.0,47500.0,0.0,834.44,1,0,Heilongjiang,5.0,260.75,00
700,427,内蒙古民族大学教育基金会,3,2,0,0.0,2013-04-01,6.0,3,1274775.4,100000.0,0.0,296.11,1,0,Neimenggu,2.0,137.48,20
703,1655,开明慈善基金会,4,1,2,0.0,2012-04-28,14.0,3,3190300.0,2216010.0,0.0,3387.73,1,1,Beijing,3.0,540.63,12
709,3131,长春工程学院教育基金会,2,1,0,0.0,2010-09-08,21.0,3,0.0,170000.0,0.0,220.13,1,0,Jilin,5.0,17.0,10
710,1043,大庆市老年福利基金会,5,0,0,1.0,1989-05-16,9.0,4,0.0,501620.0,0.0,969.61,1,0,Heilongjiang,26.0,50.16,00
713,4093,云南晟成扶贫助老基金会,5,0,1,0.0,2014-11-10,6.0,3,0.0,0.0,0.0,183.98,0,0,Yunnan,1.0,0.0,01
719,1127,孙冶方经济科学基金会,8,0,1,0.0,1983-06-19,16.0,3,2050000.0,4000000.0,0.0,3130.9,1,1,Beijing,32.0,605.0,01
721,2307,浙江省金融教育基金会,2,0,0,1.0,1993-09-18,20.0,3,605072.0,1457447.0,0.0,4037.48,1,0,Zhejiang,22.0,206.25,00
722,209,中国光彩事业基金会,7,0,1,1.0,2005-06-14,19.0,4,169536031.69,0.0,0.0,26199.79,1,1,Beijing,10.0,16953.6,01
726,215,中国医学基金会,8,0,0,1.0,1987-07-08,15.0,2,2931540.0,303320.0,0.0,877.82,1,1,Beijing,28.0,323.49,00
727,3213,陕西省西安残疾人福利基金会,7,0,0,1.0,2005-09-13,20.0,3,0.0,4289140.0,0.0,3401.4,1,0,Shaanxi,10.0,428.91,00
729,1313,山西省东冶建成教育基金会,0,0,0,0.0,2011-11-10,5.0,2,0.0,0.0,0.0,264.75,0,0,Shanxi,4.0,0.0,00
731,178,中华健康快车基金会,14,1,1,1.0,2002-08-02,9.0,4,7988704.0,14667365.88,0.0,6989.18,1,1,Beijing,13.0,2265.61,11
732,251,中国煤矿文化宣传基金会,5,0,0,1.0,1982-10-23,16.0,3,1500000.0,50000.0,0.0,1387.66,1,1,Beijing,33.0,155.0,00
736,238,中国教师发展基金会,7,0,0,1.0,1986-09-10,7.0,3,35035881.6,391803.72,154.06,5207.37,1,1,Beijing,29.0,3542.77,00
740,3423,重庆市残疾人福利基金会,10,0,0,1.0,2007-08-20,11.0,5,45584344.34,61711.35,70.8,5104.63,1,0,Chongqing,8.0,4564.61,00
742,1071,天津市南开菁英教育基金会,2,0,0,0.0,2011-11-21,13.0,3,0.0,0.0,0.0,490.82,0,0,Tianjin,4.0,0.0,00
745,248,中国法律援助基金会,23,1,1,1.0,1997-05-26,18.0,4,9750000.0,9161200.0,11100.0,15104.27,1,1,Beijing,18.0,1891.12,11
747,3091,重庆市彭水教育基金会,5,0,0,0.0,2012-06-07,11.0,4,1370626.0,450000.0,30.0,527.34,1,0,Chongqing,3.0,182.06,00
749,1047,大连市教育基金会,6,0,0,1.0,2008-03-24,10.0,3,0.0,2172000.0,0.0,1200.91,1,0,Liaoning,7.0,217.2,00
754,1062,天津宝坻桑梓助学基金会,4,0,0,1.0,2004-12-01,13.0,3,0.0,63357.69,0.0,9776.72,1,0,Tianjin,11.0,6.34,00
756,2956,象山县人民教育基金会,3,0,0,1.0,2005-02-23,23.0,3,5920000.0,2042624.3,18.0,5098.08,1,0,Zhejiang,10.0,796.26,00
762,326,云南教育基金会,10,0,1,1.0,1988-07-14,11.0,5,4307900.0,33216.0,0.0,4086.35,1,0,Yunnan,27.0,434.11,01
764,856,南都公益基金会,13,0,0,0.0,2007-05-11,10.0,4,2162532.44,20030000.14,0.0,11822.75,0,1,Beijing,8.0,2219.25,00
769,86,上海市老年基金会,8.0,0,0.0,1.0,1992年11月28日,25.0,4,30893136.0,36782276.76,4237.41,38476.33,1,0,Shanghai,23.0,6767.54,00.0
770,1648,延安教科文发展基金会,5,0,0,1.0,1990-05-07,9.0,3,0.0,573385.59,0.0,570.13,1,0,Shaanxi,25.0,57.34,00
772,216,中国医药卫生事业发展基金会,27,0,0,1.0,2005-12-07,13.0,4,0.0,14671515.0,150.0,7736.48,1,1,Beijing,10.0,1467.15,00
775,3455,重庆市妇女儿童基金会,3,0,1,1.0,2009-05-22,19.0,5,22037290.5,13137.0,0.0,2328.47,1,0,Chongqing,6.0,2205.04,01
777,2487,温州市永乐科技奖励医疗救助基金会,4,0,0,0.0,1989-12-01,11.0,4,1009833.62,0.0,0.0,503.42,1,0,Zhejiang,26.0,100.98,00
778,2985,贵州省青年志愿服务基金会,2,0,0,1.0,2010-06-13,12.0,5,6056216.96,100005.0,0.0,735.53,1,0,Guizhou,5.0,615.62,00
779,965,哈尔滨师范大学教育发展基金会,4,0,0,0.0,2010-08-11,12.0,4,1179762.0,40000.0,0.0,947.2,1,0,Heilongjiang,5.0,121.98,00
780,206,中国健康促进基金会,13,0,0,1.0,2006-12-18,18.0,1,211755756.98,0.0,100.0,11300.03,1,1,Beijing,9.0,21175.58,00
782,282,中社社会工作发展基金会,11,0,0,0.0,2011-03-29,7.0,3,41841255.03,11010140.3,100.0,7812.48,1,1,Beijing,4.0,5285.14,00
785,1075,天津市孙洪森助学基金会,0,0,0,0.0,2012-08-16,9.0,3,40000.0,0.0,0.0,218.42,0,0,Tianjin,3.0,4.0,00
793,2705,甘肃省治理荒漠化基金会,8,0,0,1.0,2008-05-20,5.0,4,0.0,800.0,0.0,577.86,1,0,Gansu,7.0,0.08,00
795,1063,天津市人口福利基金会,3,0,2,1.0,1997-01-01,21.0,3,0.0,0.0,0.0,618.29,1,0,Tianjin,18.0,0.0,02
796,2046,河北省京海明珠慈善基金会,3,0,0,0.0,2008-03-19,11.0,5,0.0,0.0,0.0,1456.17,0,0,Hebei,7.0,0.0,00
797,3290,香江社会救助基金会,5,0,0,0.0,2005-06-14,9.0,4,6973000.0,35974.0,0.0,10042.91,0,1,Guangdong,10.0,700.9,00
803,2740,石狮市蔡友玉教育基金会,1,0,0,0.0,2006-07-19,17.0,3,0.0,3036370.49,1.0,597.72,0,0,Fujian,9.0,303.64,00
808,2818,福建省邓子基教育基金会,1,0,0,0.0,2007-06-13,17.0,3,0.0,610000.0,0.0,564.72,0,0,Fujian,8.0,61.0,00
814,207,中国儿童少年基金会,56,0,3,1.0,1981-07-28,19.0,5,419655073.95,7755858.87,0.0,49550.91,1,1,Beijing,34.0,42741.09,03
815,236,中国扶贫基金会,157,0,2,1.0,1989-03-13,19.0,5,471023853.48,144000.0,0.0,273151.39,1,1,Beijing,26.0,47116.79,02
816,3211,陕西省西安城墙保护基金会,2,0,0,1.0,2011-12-02,15.0,3,0.0,0.0,0.0,338.87,1,0,Shaanxi,4.0,0.0,00
820,375,伊金霍洛旗扶贫基金会,2,0,0,0.0,2009-12-04,5.0,4,0.0,900000.0,0.0,610.23,1,0,Neimenggu,6.0,90.0,00
825,2085,河南大学教育发展基金会,5,0,0,0.0,2011-06-10,12.0,4,1964238.9,101.21,0.0,4065.46,1,1,Henan,4.0,196.43,00
830,431,内蒙古民族青年文化艺术基金会,0,0,0,0.0,2009-08-31,8.0,3,0.0,2000000.0,0.0,221.07,0,0,Neimenggu,6.0,200.0,00
832,2287,浙江省新华爱心教育基金会,29,0,0,1.0,2007-06-29,20.0,5,45625257.4,1650573.17,0.0,11305.62,0,0,Zhejiang,8.0,4727.58,00
833,260,中国禁毒基金会,23,1,0,1.0,1999-04-28,22.0,3,22349093.64,11142112.6,100.0,12842.02,1,1,Beijing,16.0,3349.12,10
835,2683,瑞安市公安民警救助奖励基金会,2,1,0,1.0,2004-02-26,15.0,4,0.0,3910000.0,0.0,742.88,1,0,Zhejiang,11.0,391.0,10
836,3196,陕西省楠竹教育基金会,1,0,0,0.0,2008-08-12,8.0,3,0.0,0.0,0.0,651.72,0,0,Shaanxi,7.0,0.0,00
838,3403,重庆市儿童医疗救助基金会,6,0,0,1.0,2005-08-22,11.0,5,3998150.99,0.0,300.0,1705.5,1,0,Chongqing,10.0,399.82,00
839,63,上海市华侨事业发展基金会,11.0,0,0.0,1.0,2006年05月17日,11.0,4,15004470.54,26911.24,0.0,2384.24,1,0,Shanghai,9.0,1503.14,00.0
842,1807,杭州市农业技术推广基金会,4,0,0,1.0,2003-08-05,3.0,4,0.0,0.0,399.1,1797.3,1,0,Zhejiang,12.0,0.0,00
843,887,台州市老年事业发展基金会,3,0,0,1.0,2011-07-10,23.0,3,0.0,0.0,10.0,1417.68,1,0,Zhejiang,4.0,0.0,00
845,2965,贵州省同心光彩事业基金会,2,0,1,1.0,2011-08-08,8.0,3,1493808.18,7000.49,0.0,587.33,1,0,Guizhou,4.0,150.08,01
848,3031,辽宁省辽宁石油化工大学教育发展基金会,3,0,0,0.0,2011-07-15,11.0,3,0.0,495185.33,0.0,518.21,1,0,Liaoning,4.0,49.52,00
849,2972,贵州省春晖行动发展基金会,10,0,0,1.0,2009-03-18,14.0,4,6031289.9,0.0,0.0,1081.33,1,0,Guizhou,6.0,603.13,00
851,959,哈尔滨市老年基金会,4,3,0,1.0,2011-03-31,7.0,3,0.0,889720.0,0.0,973.69,1,0,Heilongjiang,4.0,88.97,30
853,230,中国妇女发展基金会,61,0,0,1.0,1988-12-25,18.0,5,428729527.65,18549007.5,30000.0,55716.99,1,1,Beijing,27.0,44727.85,00
855,210,中国公安民警英烈基金会,6,1,1,1.0,2003-01-07,12.0,3,22166017.4,1800000.0,0.0,23033.56,1,1,Beijing,12.0,2396.6,11
859,3405,重庆儿童救助基金会,11,0,0,1.0,2005-11-05,11.0,3,0.0,9226821.8,0.0,4418.56,1,0,Chongqing,10.0,922.68,00
870,1824,浙江省陈伯滔体育基金会,1,0,0,0.0,1995-06-12,6.0,4,0.0,628382.0,20.0,239.52,1,0,Zhejiang,20.0,62.84,00
872,2700,甘肃省天水市伏羲赡老助学基金会,0,0,0,0.0,2010-01-14,5.0,3,0.0,0.0,0.0,451.94,0,0,Gansu,5.0,0.0,00
873,2697,甘肃省兰州市城关区教育发展基金会,0,3,0,1.0,2011-06-16,17.0,3,0.0,5800000.0,0.0,2194.85,1,0,Gansu,4.0,580.0,30
877,437,内蒙古清格尔泰蒙古语言文化基金会,3,0,0,0.0,2008-10-08,7.0,4,0.0,0.0,9.0,249.52,1,0,Neimenggu,7.0,0.0,00
887,3186,陕西省唐大明宫遗址文物保护基金会,0,0,0,1.0,2008-11-27,8.0,3,0.0,50000.0,0.0,911.06,1,0,Shaanxi,7.0,5.0,00
890,1798,李可染艺术基金会,4,0,0,0.0,1998-03-24,19.0,2,0.0,3959968.0,0.0,2209.31,0,1,Beijing,17.0,396.0,00
892,3332,黑龙江省见义勇为奖励基金会,5,4,1,1.0,1994-01-03,9.0,3,0.0,0.0,72.0,580.13,1,0,Heilongjiang,21.0,0.0,41
893,2745,神华公益基金会,8,0,0,0.0,2010-07-01,18.0,5,40067000.0,403800000.0,120.0,77713.22,0,1,Beijing,5.0,44386.7,00
904,181,中华同心温暖工程基金会,7,3,1,1.0,2011-10-25,13.0,3,27676614.0,4003000.0,0.0,5230.46,1,1,Beijing,4.0,3167.96,31
907,3111,金华职业技术学院教育发展基金会,2,0,0,0.0,2009-01-05,16.0,4,170170.0,1286300.0,136.0,8375.96,1,0,Zhejiang,6.0,145.65,00
909,2280,浙江省康恩贝慈善救助基金会,2,0,0,0.0,2007-12-28,6.0,5,0.0,15418556.0,0.0,1441.08,0,0,Zhejiang,8.0,1541.86,00
911,1098,天津市联合助学基金会,2,0,0,1.0,2005-07-07,11.0,4,1201795.5,0.0,0.0,426.73,0,0,Tianjin,10.0,120.18,00
915,1642,广西青少年发展基金会,11,1,0,1.0,1994-05-25,14.0,5,22774227.56,0.0,0.0,4895.99,1,0,Guangxi,21.0,2277.42,10
917,2250,浙江省三立慈善基金会,0,0,0,0.0,2012-12-11,5.0,4,0.0,10684600.0,0.0,402.7,0,0,Zhejiang,3.0,1068.46,00
919,1046,大连市妇女儿童发展基金会,4,0,0,1.0,2011-09-09,13.0,4,1555498.8,32500.31,0.0,765.82,1,0,Liaoning,4.0,158.8,00
921,1084,天津市景华公益基金会,9,0,0,0.0,2010-05-27,13.0,3,0.0,548400.0,0.0,126.89,0,0,Beijing,5.0,54.84,00
924,3358,宁夏回族自治区医学科研教育基金会,0,0,0,1.0,2002-10-10,6.0,3,0.0,0.0,0.0,449.75,1,0,Ningxia,13.0,0.0,00
927,3457,重庆市教育发展基金会,7,0,1,1.0,2009-11-16,17.0,5,60629857.86,2581300.0,300.0,7430.78,1,0,Chongqing,6.0,6321.12,01
928,264,中国红十字基金会,56,0,0,1.0,1994-03-15,22.0,5,0.0,261664675.0,20000.0,55737.92,1,1,Beijing,21.0,26166.47,00
930,270,中国肝炎防治基金会,12,1,1,1.0,1998-08-22,17.0,3,34573380.55,2315011.18,0.0,7033.75,1,1,Beijing,17.0,3688.84,11
931,2041,河北慈善联合基金会,14,0,1,1.0,2012-08-29,9.0,3,5629071.02,7218880.38,0.0,586.85,1,0,Hebei,3.0,1284.8,01
932,1061,天津大学北洋教育发展基金会,13,0,0,0.0,1995-08-16,21.0,5,67274243.24,0.0,13.5,24795.45,1,0,Tianjin,20.0,6727.42,00
933,3162,陕西中实弘扬法治教育基金会,1,2,0,0.0,2012-04-01,7.0,3,0.0,300000.0,0.0,347.78,0,0,Shaanxi,3.0,30.0,20
937,98,上海市黄浦区教育基金会,0.0,0,0.0,1.0,1992年05月28日,15.0,3,506000.0,0.0,0.0,7480.6,1,0,Shanghai,23.0,50.6,00.0
941,2768,福建师范大学附属中学正祥教育基金会,1,1,0,0.0,2013-01-14,5.0,3,0.0,1280000.0,0.0,1055.65,1,0,Fujian,2.0,128.0,10
944,1623,广西和正慈善基金会,7,0,0,0.0,2009-08-28,8.0,4,0.0,76000.0,0.15,201.39,0,0,Guangxi,6.0,7.6,00
946,953,哈尔滨工程大学教育发展基金会,3,0,0,0.0,2008-05-15,17.0,5,10214515.68,150200.0,16.0,5141.99,1,0,Heilongjiang,7.0,1036.47,00
950,3006,辽宁省兴隆大家庭大病救助基金会,0,0,0,0.0,2009-12-15,5.0,3,0.0,750000.0,0.0,217.49,0,0,Liaoning,6.0,75.0,00
959,1775,晋江市侨声中学教育发展基金会,4,0,0,0.0,2008-07-29,10.0,3,0.0,18742900.01,0.0,1985.48,1,0,Fujian,7.0,1874.29,00
960,231,中国孔子基金会,35,0,0,1.0,1984-09-20,17.0,3,2085959.81,32000.0,0.0,10533.05,1,1,Shandong,31.0,211.8,00
961,2210,浙江千训爱心慈善基金会,6,0,0,0.0,2011-12-06,9.0,5,100000.0,20333302.07,0.0,1498.52,0,0,Zhejiang,4.0,2043.33,00
964,2248,浙江滴水慈善基金会,2,0,0,0.0,2011-04-21,9.0,4,0.0,7824571.61,11.0,1350.92,0,0,Zhejiang,4.0,782.46,00
967,211,中国关心下一代健康体育基金会,9,0,0,1.0,2003-10-10,11.0,1,8568938.0,0.0,0.0,1278.54,1,1,Beijing,12.0,856.89,00
969,2936,西北农林科技大学教育发展基金会,8,0,0,0.0,2011-06-10,20.0,3,15911801.01,0.0,0.0,3892.2,1,1,Shaanxi,4.0,1591.18,00
970,1109,天津桃李源文化基金会,2,0,1,0.0,2010-01-28,6.0,3,0.0,100000.0,0.0,430.91,1,0,Tianjin,5.0,10.0,01
972,942,吴作人国际美术基金会,5,0,0,0.0,1989-08-30,9.0,1,5930000.0,3500000.0,0.0,1737.25,0,1,Beijing,26.0,943.0,00
975,276,中国青年创业就业基金会,15,0,0,1.0,2006-10-08,21.0,4,80896036.38,0.0,0.0,22845.02,1,1,Beijing,9.0,8089.6,00
979,2054,河北省志愿服务基金会,4,0,0,1.0,2012-11-28,25.0,4,5175894.34,1334628.23,0.0,744.91,1,0,Hebei,3.0,651.05,00
984,198,中国交响乐发展基金会,6,0,0,1.0,1994-07-05,18.0,3,0.0,5730868.0,0.0,838.44,1,1,Beijing,21.0,573.09,00
988,1111,天诺慈善基金会,11,0,0,0.0,2008-01-28,5.0,3,0.0,7200000.0,0.0,614.13,0,1,Beijing,7.0,720.0,00
991,203,中国企业管理科学基金会,6,0,0,1.0,1987-03-20,16.0,3,0.0,2000000.0,0.0,2652.51,1,1,Beijing,28.0,200.0,00
995,1330,山西省姚奠中国学教育基金会,0,0,0,0.0,2010-01-25,12.0,3,0.0,700000.0,0.0,1701.67,0,0,Shanxi,5.0,70.0,00
996,240,中国敦煌石窟保护研究基金会,5,0,0,1.0,1995-03-01,19.0,2,3490.49,9924822.73,0.0,3341.74,1,1,Gansu,20.0,992.83,00
