,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
682,3325,黑龙江省妇女儿童基金会,4229667.34,5,8,0.0,1,00,12073627.46,29.0,10.0,0,1.0,Heilongjiang
683,3397,援助西藏发展基金会,99657883.0,3,20,0.0,1,43,41265527.83,28.0,12.0,1,1.0,Xizang
688,3312,黑龙江省东北石油大学教育发展基金会,205000.0,4,4,0.0,1,00,3131822.6,5.0,11.0,0,0.0,Heilongjiang
691,1799,李四光地质科学奖基金会,0.0,2,0,0.0,1,00,38092873.66,8.0,17.0,1,0.0,Beijing
692,930,吉林省神华社会救助基金会,1500000.0,3,2,0.0,0,00,10463055.39,5.0,22.0,0,0.0,Shanghai
697,3308,黑龙江大学教育发展基金会,2607500.0,3,5,0.0,1,00,8344398.26,5.0,15.0,0,0.0,Heilongjiang
700,427,内蒙古民族大学教育基金会,1374775.4,3,3,0.0,1,20,2961057.39,2.0,6.0,0,0.0,Neimenggu
703,1655,开明慈善基金会,5406310.0,3,4,0.0,1,12,33877297.34,3.0,14.0,1,0.0,Beijing
706,2809,福建省王清海职业教育基金会,478754.0,4,1,0.0,0,00,6003783.62,5.0,,0,,Fujian
709,3131,长春工程学院教育基金会,170000.0,3,2,0.0,1,10,2201334.12,5.0,21.0,0,0.0,Jilin
710,1043,大庆市老年福利基金会,501620.0,4,5,0.0,1,00,9696103.49,26.0,9.0,0,1.0,Heilongjiang
713,4093,云南晟成扶贫助老基金会,0.0,3,5,0.0,0,01,1839814.94,1.0,6.0,0,0.0,Yunnan
719,1127,孙冶方经济科学基金会,6050000.0,3,8,0.0,1,01,31309012.4,32.0,16.0,1,0.0,Beijing
721,2307,浙江省金融教育基金会,2062519.0,3,2,0.0,1,00,40374806.34,22.0,20.0,0,1.0,Zhejiang
722,209,中国光彩事业基金会,169536031.69,4,7,0.0,1,01,261997866.13,10.0,19.0,1,1.0,Beijing
726,215,中国医学基金会,3234860.0,2,8,0.0,1,00,8778160.42,28.0,15.0,1,1.0,Beijing
727,3213,陕西省西安残疾人福利基金会,4289140.0,3,7,0.0,1,00,34013972.09,10.0,20.0,0,1.0,Shaanxi
729,1313,山西省东冶建成教育基金会,0.0,2,0,0.0,0,00,2647538.27,4.0,5.0,0,0.0,Shanxi
731,178,中华健康快车基金会,22656069.880000003,4,14,0.0,1,11,69891777.14,13.0,9.0,1,1.0,Beijing
732,251,中国煤矿文化宣传基金会,1550000.0,3,5,0.0,1,00,13876556.57,33.0,16.0,1,1.0,Beijing
736,238,中国教师发展基金会,35427685.32,3,7,1540600.0,1,00,52073749.1,29.0,7.0,1,1.0,Beijing
740,3423,重庆市残疾人福利基金会,45646055.690000005,5,10,708000.0,1,00,51046281.55,8.0,11.0,0,1.0,Chongqing
742,1071,天津市南开菁英教育基金会,0.0,3,2,0.0,0,00,4908235.19,4.0,13.0,0,0.0,Tianjin
745,248,中国法律援助基金会,18911200.0,4,23,111000000.0,1,11,151042744.68,18.0,18.0,1,1.0,Beijing
747,3091,重庆市彭水教育基金会,1820626.0,4,5,300000.0,1,00,5273395.05,3.0,11.0,0,0.0,Chongqing
749,1047,大连市教育基金会,2172000.0,3,6,0.0,1,00,12009078.6,7.0,10.0,0,1.0,Liaoning
754,1062,天津宝坻桑梓助学基金会,63357.69,3,4,0.0,1,00,97767155.0,11.0,13.0,0,1.0,Tianjin
756,2956,象山县人民教育基金会,7962624.3,3,3,180000.0,1,00,50980817.78,10.0,23.0,0,1.0,Zhejiang
762,326,云南教育基金会,4341116.0,5,10,0.0,1,01,40863474.27,27.0,11.0,0,1.0,Yunnan
764,856,南都公益基金会,22192532.580000002,4,13,0.0,0,00,118227520.51,8.0,10.0,1,0.0,Beijing
769,86,上海市老年基金会,67675412.75999999,4,8.0,42374082.0,1,00.0,384763304.05,23.0,25.0,0,1.0,Shanghai
770,1648,延安教科文发展基金会,573385.59,3,5,0.0,1,00,5701311.59,25.0,9.0,0,1.0,Shaanxi
772,216,中国医药卫生事业发展基金会,14671515.0,4,27,1500000.0,1,00,77364787.68,10.0,13.0,1,1.0,Beijing
775,3455,重庆市妇女儿童基金会,22050427.5,5,3,0.0,1,01,23284664.39,6.0,19.0,0,1.0,Chongqing
777,2487,温州市永乐科技奖励医疗救助基金会,1009833.62,4,4,0.0,1,00,5034243.06,26.0,11.0,0,0.0,Zhejiang
778,2985,贵州省青年志愿服务基金会,6156221.96,5,2,0.0,1,00,7355257.33,5.0,12.0,0,1.0,Guizhou
779,965,哈尔滨师范大学教育发展基金会,1219762.0,4,4,0.0,1,00,9472009.86,5.0,12.0,0,0.0,Heilongjiang
780,206,中国健康促进基金会,211755756.98,1,13,1000000.0,1,00,113000305.66,9.0,18.0,1,1.0,Beijing
782,282,中社社会工作发展基金会,52851395.33,3,11,1000000.0,1,00,78124791.49,4.0,7.0,1,0.0,Beijing
785,1075,天津市孙洪森助学基金会,40000.0,3,0,0.0,0,00,2184190.57,3.0,9.0,0,0.0,Tianjin
793,2705,甘肃省治理荒漠化基金会,800.0,4,8,0.0,1,00,5778599.2,7.0,5.0,0,1.0,Gansu
795,1063,天津市人口福利基金会,0.0,3,3,0.0,1,02,6182854.12,18.0,21.0,0,1.0,Tianjin
796,2046,河北省京海明珠慈善基金会,0.0,5,3,0.0,0,00,14561653.06,7.0,11.0,0,0.0,Hebei
797,3290,香江社会救助基金会,7008974.0,4,5,0.0,0,00,100429088.78,10.0,9.0,1,0.0,Guangdong
803,2740,石狮市蔡友玉教育基金会,3036370.49,3,1,10000.0,0,00,5977180.97,9.0,17.0,0,0.0,Fujian
808,2818,福建省邓子基教育基金会,610000.0,3,1,0.0,0,00,5647206.45,8.0,17.0,0,0.0,Fujian
814,207,中国儿童少年基金会,427410932.82,5,56,0.0,1,03,495509090.82,34.0,19.0,1,1.0,Beijing
815,236,中国扶贫基金会,471167853.48,5,157,0.0,1,02,2731513922.31,26.0,19.0,1,1.0,Beijing
816,3211,陕西省西安城墙保护基金会,0.0,3,2,0.0,1,00,3388738.23,4.0,15.0,0,1.0,Shaanxi
820,375,伊金霍洛旗扶贫基金会,900000.0,4,2,0.0,1,00,6102273.35,6.0,5.0,0,0.0,Neimenggu
825,2085,河南大学教育发展基金会,1964340.1099999999,4,5,0.0,1,00,40654576.33,4.0,12.0,1,0.0,Henan
830,431,内蒙古民族青年文化艺术基金会,2000000.0,3,0,0.0,0,00,2210735.03,6.0,8.0,0,0.0,Neimenggu
832,2287,浙江省新华爱心教育基金会,47275830.57,5,29,0.0,0,00,113056178.98,8.0,20.0,0,1.0,Zhejiang
833,260,中国禁毒基金会,33491206.240000002,3,23,1000000.0,1,10,128420179.51,16.0,22.0,1,1.0,Beijing
835,2683,瑞安市公安民警救助奖励基金会,3910000.0,4,2,0.0,1,10,7428766.42,11.0,15.0,0,1.0,Zhejiang
836,3196,陕西省楠竹教育基金会,0.0,3,1,0.0,0,00,6517162.33,7.0,8.0,0,0.0,Shaanxi
838,3403,重庆市儿童医疗救助基金会,3998150.99,5,6,3000000.0,1,00,17055024.9,10.0,11.0,0,1.0,Chongqing
