,ricf_oid,ba_cn,fa_dint,ba_evl,ba_nfe,cf_govc,sc_gongo,ba_gvof,fp_tt,ba_age,ba_bn,sco_na,ba_ntr,Province
1148,225,中国和平发展基金会,0.0,3,23,0.0,1,00,322352044.07,4.0,14.0,1,0.0,Beijing
1155,1142,宁夏国龙慈善基金会,1265621.6,3,2,0.0,0,00,4057786.42,5.0,,0,,Ningxia
1159,3017,辽宁省残疾人福利基金会,24528617.77,3,4,0.0,1,00,20262023.41,30.0,14.0,0,1.0,Liaoning
1160,2233,浙江慈溪兴业夕阳红基金会,292105.26,4,3,0.0,0,00,10781793.14,10.0,5.0,0,0.0,Zhejiang
1170,193,中南大学教育基金会,31641174.0,4,7,0.0,1,01,299388391.65,4.0,25.0,1,0.0,Hunan
1178,950,哈尔滨医科大学发展基金会,23103000.0,4,5,0.0,1,00,49817319.48,5.0,24.0,0,0.0,Heilongjiang
1180,2473,清华大学教育基金会,1589318748.73,5,39,0.0,1,00,6318334098.23,21.0,25.0,1,0.0,Beijing
1181,197,中国下一代教育基金会,74194463.57,4,16,0.0,1,01,123478386.02,5.0,15.0,1,1.0,Beijing
1182,3426,重庆市丰都教育奖励扶助基金会,3111280.0,4,4,0.0,1,00,9634170.89,8.0,24.0,0,1.0,Chongqing
1184,945,吴阶平医学基金会,71027905.09,3,10,0.0,1,00,83469830.14,13.0,19.0,1,0.0,Beijing
1185,1048,大连市残疾人福利基金会,5419711.399999999,4,4,0.0,1,00,5542739.36,9.0,6.0,0,1.0,Liaoning
1189,2053,河北省德仁慈善基金会,500000.0,4,0,0.0,0,00,2111205.86,3.0,9.0,0,0.0,Hebei
1192,3040,辽阳辽化教育奖励基金会,0.0,3,2,0.0,1,00,4046640.84,25.0,5.0,0,1.0,Liaoning
1193,1634,广西残疾人福利基金会,4560515.6,5,3,220000.0,1,00,9537048.3,29.0,21.0,0,1.0,Guangxi
1196,1632,广西李宁基金会,1150000.0,4,7,0.0,0,00,1108081.7,9.0,9.0,0,0.0,Guangxi
1198,3079,鄂托克旗教育基金会,2110000.0,3,2,0.0,1,00,10375258.85,6.0,5.0,0,0.0,Neimenggu
1200,1070,天津市南开中学教育基金会,41260.0,4,2,0.0,1,00,70691904.55,5.0,15.0,0,0.0,Tianjin
1202,3138,长春建筑学院教育基金会,1520000.0,3,2,0.0,1,00,10713816.64,5.0,21.0,0,0.0,Jilin
1205,60,上海市儿童基金会,0.0,5,0.0,0.0,1,01.0,49097975.75,23.0,23.0,0,1.0,Shanghai
1207,2269,浙江省大爱慈善基金会,4523412.66,5,3,0.0,1,00,2502672.37,2.0,1.0,0,0.0,Zhejiang
1213,354,云南聂耳音乐基金会,0.0,3,0,50000.0,1,00,4645072.86,10.0,17.0,0,1.0,Yunnan
1214,2826,福建省龙岩扶贫基金会,0.0,3,4,0.0,1,00,8507978.17,24.0,12.0,0,1.0,Fujian
1215,3399,重庆市扶贫基金会,112378430.5,4,4,1783000.0,1,00,97639375.4,21.0,19.0,0,1.0,Chongqing
1216,43,上海复旦大学教育发展基金会,251271907.15,5,10.0,0.0,1,00.0,597064176.09,11.0,16.0,0,0.0,Shanghai
1218,3454,重庆市青少年发展基金会,17175615.79,4,5,500000.0,1,00,22782302.53,6.0,22.0,0,1.0,Chongqing
1224,3224,陕西荣禾老年基金会,1000000.0,3,0,0.0,0,00,2993749.38,5.0,5.0,0,0.0,Shaanxi
1227,75,上海市慈善基金会,721482408.59,5,67.0,27144000.0,1,00.0,2673960994.5,21.0,22.0,0,1.0,Shanghai
1228,2481,温州市人民教育基金会,26125913.97,4,3,0.0,1,00,87254580.41,26.0,16.0,0,1.0,Zhejiang
1229,1106,天津市鹤童老年公益基金会,1273605.55,4,1,0.0,0,00,4545369.1,8.0,5.0,0,0.0,Tianjin
1230,3214,陕西省西部发展基金会,428376.0,3,3,0.0,1,00,4289966.06,11.0,7.0,0,1.0,Shaanxi
1236,221,中国友好和平发展基金会,86690561.44,4,13,1000000.0,1,00,200055848.71,19.0,5.0,1,1.0,Beijing
1238,2838,秦皇岛市志愿服务基金会,1455595.7,5,5,0.0,1,00,5538800.67,4.0,14.0,0,0.0,Hebei
1241,3010,辽宁省大连海事大学博联助学基金会,465594.5,3,0,0.0,1,00,8021903.36,7.0,8.0,0,0.0,Liaoning
1244,3118,铁岭市公安民警救助基金会,1376500.0,2,3,0.0,1,00,6966458.72,6.0,3.0,0,1.0,Liaoning
1246,125,上海浦东新区社会发展基金会,16359488.67,4,0.0,0.0,1,00.0,100610183.57,21.0,9.0,0,1.0,Shanghai
1248,214,中国初级卫生保健基金会,1154114208.75,4,10,0.0,1,01,299253847.41,19.0,21.0,1,1.0,Beijing
1250,2048,河北省公安民警英烈基金会,2263052.0,3,6,0.0,1,20,11383391.95,6.0,19.0,0,1.0,Hebei
1259,2859,老牛基金会,0.0,5,29,0.0,0,00,1595810856.72,8.0,10.0,0,0.0,Neimenggu
1261,2937,西北工业大学教育基金会,19279888.990000002,1,13,0.0,1,00,318254380.51,8.0,7.0,0,0.0,Shaanxi
1262,1076,天津市宁鸿涛助学基金会,0.0,3,0,0.0,1,00,1988933.68,8.0,5.0,0,0.0,Tianjin
1263,937,宁夏回族自治区同心县同德公益慈善基金会,25000.0,3,0,50000.0,1,00,2059317.78,3.0,7.0,0,0.0,Ningxia
1265,94,上海市青少年发展基金会,13990542.15,5,1.0,0.0,1,00.0,145278069.98,23.0,19.0,0,1.0,Shanghai
1272,1752,新疆维吾尔自治区资助教育基金会,3256425.55,4,2,0.0,1,00,4600943.7,4.0,5.0,0,1.0,Xinjiang
1275,239,中国教育发展基金会,238020443.67,5,11,1994000000.0,1,01,546067783.38,12.0,18.0,1,1.0,Beijing
1278,1097,天津市老年基金会,563500.0,3,5,0.0,1,00,17201456.05,23.0,6.0,0,1.0,Tianjin
1281,3016,辽宁省教育基金会,7123309.88,5,4,0.0,1,00,23245501.88,27.0,11.0,0,1.0,Liaoning
1282,284,中远海运慈善基金会,21027822.9,3,6,0.0,0,00,440635271.01,10.0,17.0,1,0.0,Beijing
1283,2997,辽宁光达优抚爱心基金会,0.0,3,2,0.0,0,00,2611754.23,6.0,5.0,0,0.0,Liaoning
1284,389,保定军校基金会,45199.37,4,8,0.0,1,00,4114909.56,10.0,9.0,0,0.0,Hebei
1285,1337,山西省振兴京剧基金会,0.0,3,1,0.0,1,00,7193686.82,7.0,8.0,0,0.0,Shanxi
1287,2800,福建省残疾人福利基金会,22206371.46,5,8,1190000.0,1,00,28437921.5,9.0,19.0,0,1.0,Fujian
1288,3173,陕西师范大学教育基金会,19742962.89,4,4,0.0,1,00,39310789.48,4.0,16.0,0,0.0,Shaanxi
1289,1619,广西协力扶助基金会,9530018.42,5,1,0.0,1,01,8370254.04,9.0,19.0,0,0.0,Guangxi
1290,1372,巴彦淖尔市人民教育基金会,145200.0,3,3,0.0,1,00,12078450.03,20.0,6.0,0,1.0,Neimenggu
1292,2952,詹天佑科学技术发展基金会,1305339.81,3,7,0.0,1,01,34864001.22,10.0,23.0,1,0.0,Beijing
1295,2978,贵州省贵阳市生态文明基金会,30070840.0,4,4,0.0,1,11,72655025.73,8.0,23.0,0,1.0,Guizhou
1296,3085,重庆市万州区教育基金会,3912255.76,3,3,0.0,1,00,14166092.48,4.0,14.0,0,0.0,Chongqing
1297,1095,天津市网球发展基金会,0.0,3,2,0.0,1,00,13823393.3,16.0,5.0,0,1.0,Tianjin
1299,2285,浙江省扶贫基金会,5579380.0,4,1,0.0,1,01,24000372.68,23.0,12.0,0,1.0,Zhejiang
1302,2795,福建省扶贫基金会,12455738.0,5,8,11970000.0,1,01,27441440.16,22.0,24.0,0,1.0,Fujian
1307,2312,浙江省青年创业就业基金会,2212460.98,5,1,100000.0,1,10,14698034.07,6.0,21.0,0,1.0,Zhejiang
1317,2032,沈阳市教育基金会,26593182.15,5,9,0.0,1,00,32832865.58,10.0,14.0,0,1.0,Liaoning
1319,3497,铁岭市教育基金会,2985000.0,3,4,0.0,1,00,5028109.38,8.0,17.0,0,1.0,Jiangsu
1323,241,中国文学艺术基金会,69233023.18,5,23,139709500.0,1,02,222196278.68,21.0,24.0,1,1.0,Beijing
1324,90,上海市长宁区教育基金会,3512942.4,3,0.0,0.0,1,00.0,34624948.21,23.0,25.0,0,1.0,Shanghai
1326,1639,广西老年基金会,57184.97,5,5,800000.0,1,01,8071598.64,25.0,20.0,0,1.0,Guangxi
1329,2240,浙江毓芳慈善基金会,1536804.0,4,3,0.0,0,00,3097214.82,5.0,6.0,0,0.0,Zhejiang
1330,319,云南士恒教育基金会,1130000.0,3,2,0.0,0,00,2107077.18,6.0,6.0,0,0.0,Yunnan
1335,136,上海真爱梦想公益基金会,90752399.61,5,56.0,0.0,0,00.0,155130784.84,7.0,7.0,0,1.0,Shanghai
1336,3104,重庆金平法学教育基金会,2634300.0,2,1,0.0,1,00,7914381.51,5.0,13.0,0,0.0,Chongqing
1340,219,中国华文教育基金会,99809734.87,4,11,0.0,1,01,109800549.44,11.0,21.0,1,1.0,Beijing
1341,1733,新奥公益慈善基金会,39557960.0,5,5,0.0,0,00,34498538.63,10.0,12.0,0,0.0,Hebei
1342,224,中国听力医学发展基金会,17009108.86,2,10,0.0,1,00,20093698.9,20.0,13.0,1,1.0,Beijing
1347,3354,宁夏煤炭职工扶贫济困基金会,2011400.0,4,0,0.0,0,60,8884627.89,10.0,,0,,Ningxia
1349,2272,浙江省宁海县人民教育基金会,37861385.529999994,5,4,265000.0,1,00,44213934.48,26.0,24.0,0,1.0,Zhejiang
1350,826,南安市石井创新社会管理公益基金会,1090000.0,3,4,0.0,1,00,3155886.36,3.0,20.0,0,0.0,Fujian
1352,980,四川大学教育基金会,81905465.38,4,13,1000000.0,1,00,194455122.02,5.0,15.0,1,0.0,Sichuan
1353,337,云南省扶贫基金会,8201000.07,3,7,0.0,1,03,29321492.45,23.0,5.0,0,1.0,Yunnan
1354,1357,山西省通力达司法救济基金会,183000.0,3,0,0.0,0,00,2262752.69,3.0,7.0,0,0.0,Shanxi
1355,2704,甘肃省残疾人福利基金会,36720338.78,5,15,1670560.0,1,00,9900411.22,8.0,19.0,0,1.0,Gansu
1356,2981,贵州省遵义市见义勇为基金会,0.0,3,1,0.0,1,10,7204766.85,4.0,25.0,0,1.0,Jiangsu
1359,295,乌兰夫基金会,0.0,5,3,0.0,1,01,201512481.82,24.0,7.0,0,1.0,Neimenggu
1361,3400,重庆孤残儿童援助基金会,796597.0,4,1,0.0,1,00,8909590.67,10.0,5.0,0,1.0,Chongqing
1362,2042,河北慈氏基金会,547915.43,4,3,0.0,0,00,3185141.4,5.0,6.0,0,0.0,Hebei
1365,3096,重庆市老年事业发展基金会,6833479.08,3,7,2000000.0,1,01,7121172.67,5.0,20.0,0,1.0,Chongqing
1366,3364,宁夏回族自治区妇女儿童发展基金会,10725370.0,5,0,0.0,1,30,21496332.05,19.0,19.0,0,1.0,Ningxia
1369,446,内蒙古自治区扶贫基金会,5533600.0,3,5,0.0,1,01,7677832.26,18.0,16.0,0,1.0,Neimenggu
1370,69,上海市奉贤建设工程科学技术发展基金会,45000.0,3,0.0,0.0,1,00.0,24354563.78,10.0,18.0,0,0.0,Shanghai
1372,751,华侨茶业发展研究基金会,690000.0,3,3,0.0,1,00,24125332.57,34.0,20.0,1,0.0,Beijing
1374,2059,河北省新联合公益基金会,578839.14,4,5,500000.0,0,00,3177283.61,4.0,5.0,0,0.0,Hebei
1376,335,云南省妇女儿童发展基金会,8187907.0,4,6,0.0,1,10,22513083.26,33.0,23.0,0,1.0,Yunnan
1377,275,中国青少年发展基金会,448884365.99,5,96,0.0,1,00,1223191672.02,26.0,15.0,1,1.0,Beijing
1380,217,中国华侨公益基金会,189365824.18,4,15,0.0,1,01,230059420.06,27.0,25.0,1,1.0,Beijing
1381,327,云南民族文化发展基金会,690176.84,4,7,0.0,1,30,7652055.3,20.0,13.0,0,1.0,Yunnan
1383,2319,浙江绿色共享教育基金会,4376811.94,5,3,0.0,0,00,4397670.51,9.0,12.0,0,0.0,Zhejiang
1390,3094,重庆市科技事业发展基金会,4000.0,2,2,200000.0,1,00,2857305.08,4.0,11.0,0,0.0,Chongqing
1393,208,中国光华科技基金会,711333497.46,5,69,0.0,1,00,697625346.42,22.0,10.0,1,1.0,Beijing
1396,1093,天津市第二中学教育发展基金会,0.0,3,0,0.0,1,00,4765584.3,7.0,7.0,0,0.0,Tianjin
1401,57,上海市体育发展基金会,30773260.42,4,8.0,680500.0,1,00.0,424821220.95,23.0,13.0,0,1.0,Shanghai
1404,2970,贵州省扶贫基金会,1003232385.85,3,5,0.0,1,00,13674237.1,19.0,8.0,0,1.0,Guizhou
1406,2756,福建农林大学教育发展基金会,12827359.28,3,2,0.0,1,00,17904247.69,9.0,7.0,0,0.0,Fujian
1407,187,中华环境保护基金会,78496628.65,5,26,0.0,1,01,164108771.52,22.0,18.0,1,1.0,Beijing
1410,882,友成企业家扶贫基金会,29643904.51,4,26,0.0,0,00,168416811.81,8.0,17.0,1,0.0,Beijing
